#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
AK|BRLK|59.7511|-150.9063|409.0|Bradley Lake, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|BRSE|59.7417|-150.7414|541.0|Bradley Lake South, AK, USA|2013-07-01T00:00:00|2599-12-31T23:59:59
AK|CHI|55.8218|-155.6225|203.0|Chirikof Island, AK, USA|2008-09-15T00:00:00|2599-12-31T23:59:59
AK|CHN|54.831|-159.5895|71.0|Chernabura Island, AK, USA|2013-06-27T00:00:00|2599-12-31T23:59:59
AK|CNP|59.5251|-151.2373|564.0|China Poot, AK, USA|2008-07-24T00:00:00|2599-12-31T23:59:59
AK|DAM1|59.7554|-150.8513|354.0|Bradley Dam 1, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|DAM2|59.755299|-150.855499|363.0|Bradley Dam 2, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|FALS|54.8564|-163.4176|60.6|False Pass, AK, USA|2002-06-19T00:00:00|2599-12-31T23:59:59
AK|HOM|59.6572|-151.6515|221.0|Homer Trailer, AK, USA|2009-06-18T00:00:00|2599-12-31T23:59:59
AK|P16K|59.0314|-157.9906|85.9|Nushagak River, AK, USA|2019-12-02T00:00:00|2599-12-31T23:59:59
AK|P17K|59.1953|-156.4394|91.0|Kvichak River, AK, USA|2019-12-02T00:00:00|2599-12-31T23:59:59
AK|Q19K|58.9287|-153.6446|631.0|Cape Douglas, AK, USA|2019-10-29T00:00:00|2599-12-31T23:59:59
AK|R16K|57.5673|-157.5742|38.0|Pilot Point, AK, USA|2019-11-28T00:00:00|2599-12-31T23:59:59
AK|R18K|57.5665|-154.4524|39.0|Karluk, AK, USA|2019-10-19T00:00:00|2599-12-31T23:59:59
AK|SII|56.5593|-154.1842|492.0|Sitkinak Island Coast Guard, AK, USA|2007-08-29T00:00:00|2599-12-31T23:59:59
AT|AKUT|54.13517|-165.771851|19.2|Akutan, Alaska|2004-11-17T00:00:00|2599-12-31T23:59:59
AT|CHGN|56.301399|-158.414154|17.0|Chignik, Alaska|2011-08-10T00:00:00|2599-12-31T23:59:59
AT|OHAK|57.2225|-153.287506|77.5|Old Harbor, Alaska|2006-06-23T00:00:00|2599-12-31T23:59:59
AT|SDPT|55.3493|-160.476593|74.0|Sand Point, Alaska|2002-08-28T00:00:00|2599-12-31T23:59:59
AV|ACH|58.21|-155.3281|960.0|Angle Creek Headwaters, Katmai, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AHB|54.115339|-165.8161|411.0|Akutan Harbor, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKBB|54.0975|-165.9338|310.0|Akutan Broad Bright, Akutan Volcano, Alaska|2005-07-05T00:00:00|2599-12-31T23:59:59
AV|AKGG|54.1979|-165.9936|326.0|Akutan Green Grass, Akutan Volcano, Alaska|2003-06-27T00:00:00|2599-12-31T23:59:59
AV|AKHS|54.1533|-165.8868|553.0|Akutan Hot Springs Bay, Akutan Volcano, Alaska|2018-08-08T00:00:00|2599-12-31T23:59:59
AV|AKLV|54.162633|-165.95563|528.0|Akutan Long Valley, Akutan Volcano, Alaska|2003-07-02T00:00:00|2599-12-31T23:59:59
AV|AKMO|54.0903|-166.0126|277.0|Akutan Morgan, Akutan Volcano, Alaska|2003-06-25T00:00:00|2599-12-31T23:59:59
AV|AKRB|54.1292|-166.0708|334.0|Akutan Reef Bight, Akutan Volcano, Alaska|2003-06-29T00:00:00|2599-12-31T23:59:59
AV|AKS|54.11047|-165.69691|219.5|Akutan Strait, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKSA|54.11047|-165.69691|219.5|Akutan Strait, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKT|54.1349|-165.772|12.0|Akutan School, Akutan Volcano, Alaska|2005-11-01T00:00:00|2599-12-31T23:59:59
AV|AKV|54.12591|-165.96234|905.0|Akutan Volcano, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|ANCK|58.198743|-155.4955|865.0|Angle Creek, Katmai Volcanic Cluster, Alaska|1996-07-25T00:00:00|2599-12-31T23:59:59
AV|ANNE|56.9119|-158.061|705.0|Aniakchak Northeast, Alaska|1997-07-18T00:00:00|2022-07-31T00:00:00
AV|ANNW|56.9656|-158.217|816.0|Aniakchak North West, Alaska|1997-07-18T00:00:00|2599-12-31T23:59:59
AV|ANON|56.919|-158.1737|445.0|Aniakchak Anonymous, Alaska|2000-06-30T00:00:00|2022-08-13T00:00:00
AV|ANPB|56.80157|-158.28265|662.0|Aniakchak Plenty Bear, Alaska|1997-07-18T00:00:00|2599-12-31T23:59:59
AV|ANPK|56.8409|-158.1283|972.0|Aniakchak Peak, Alaska|1997-06-30T00:00:00|2599-12-31T23:59:59
AV|AU22|59.370595|-153.35506|105.0|Augustine Mound, Augustine Volcano, Alaska|2005-11-01T00:00:00|2599-12-31T23:59:59
AV|AUCH|59.3626|-153.4447|916.0|Augustine Cone H, Augustine Volcano, Alaska|2013-08-20T00:00:00|2599-12-31T23:59:59
AV|AUE|59.3711|-153.3773|168.0|Augustine East, Augustine Volcano, Alaska|1988-04-01T00:00:00|2020-06-30T00:00:00
