#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
AK|ATKA|52.2016|-174.1975|55.0|Atka Island, AK, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
AK|NIKH|52.9721|-168.855|199.0|Nikolski High Hill, AK, USA|2007-06-21T00:00:00|2599-12-31T23:59:59
AV|ADAG|51.98004|-176.60023|293.0|Mount Adagdak, Regional Station, Alaska|1999-09-15T00:00:00|2599-12-31T23:59:59
AV|ADKI|51.8617|-176.6448|6.0|Adak Infrasound Array, Adak Island, Alaska|2017-06-08T00:00:00|2599-12-31T23:59:59
AV|AMKA|51.3784|179.3019|116.0|Amchitka Island, Regional Station, Alaska|2005-10-14T00:00:00|2599-12-31T23:59:59
AV|BOGO|53.9291|-168.0347|5.0|Bogoslof, Bogoslof Volcano, Alaska|2018-08-15T00:00:00|2599-12-31T23:59:59
AV|CEAP|52.0012|179.5758|244.0|Anvil Peak, Cerberus Volcano, Alaska|2005-09-17T00:00:00|2599-12-31T23:59:59
AV|CEPE|51.96442|179.64735|339.2|Perret Ridge, Cerberus Volcano, Alaska|2005-09-17T00:00:00|2599-12-31T23:59:59
AV|CERA|51.9058|179.6826|305.0|Ragged Top, Cerberus Volcano, Alaska|2005-09-26T00:00:00|2599-12-31T23:59:59
AV|CERB|51.93023|179.62785|324.3|Cerberus Volcano, Cerberus Volcano, Alaska|2005-09-18T00:00:00|2599-12-31T23:59:59
AV|CESW|51.8998|179.5613|238.0|Southwest, Cerberus Volcano, Alaska|2005-09-18T00:00:00|2599-12-31T23:59:59
AV|CETU|51.96491|179.49217|317.3|Tuman Head, Cerberus Volcano, Alaska|2005-09-22T00:00:00|2599-12-31T23:59:59
AV|CLCO|52.7866|-169.7229|137.0|Concord Point, Cleveland Volcano, Alaska|2014-08-09T00:00:00|2599-12-31T23:59:59
AV|CLES|52.8235|-169.8951|146.0|Cleveland East, Cleveland Volcano, Alaska|2014-07-25T00:00:00|2599-12-31T23:59:59
AV|ETKA|51.86187|-176.40565|248.0|Kagalaska Island, Regional Station, Alaska|1999-07-11T00:00:00|2599-12-31T23:59:59
AV|GAEA|51.7819|-178.7488|326.0|East, Gareloi Volcano, Alaska|2003-08-30T00:00:00|2599-12-31T23:59:59
AV|GAKI|51.5534|-178.814|99.0|Kavalga Island, Gareloi Volcano, Alaska|2003-09-01T00:00:00|2599-12-31T23:59:59
AV|GALA|51.760629|-178.77365|313.0|Lava Point, Gareloi Volcano, Alaska|2003-08-30T00:00:00|2599-12-31T23:59:59
AV|GANE|51.817787|-178.77859|300.0|Northeast, Gareloi Volcano, Alaska|2003-09-02T00:00:00|2599-12-31T23:59:59
AV|GANO|51.8192|-178.8058|451.0|North, Gareloi Volcano, Alaska|2003-09-02T00:00:00|2599-12-31T23:59:59
AV|GASW|51.777633|-178.856549|252.0|Southwest, Gareloi Volcano, Alaska|2003-08-30T00:00:00|2599-12-31T23:59:59
