#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1V|101|32.738567|-77.844767|-270.0|OBS_ID: D56|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|102|32.62123|-77.68247|-43.0|SIO OBS ID 102|2023-08-24T00:00:00|2023-08-29T23:59:59
1V|103|32.556683|-77.593567|-381.0|OBS_ID: D10|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|104|32.45077|-77.44843|-567.0|SIO OBS ID 104|2023-08-24T00:00:00|2023-08-29T23:59:59
1V|105|32.362432|-77.327482|-708.0|OBS_ID: D04|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|106|32.249853|-77.175513|-822.0|SIO OBS ID 106|2023-08-24T00:00:00|2023-08-29T23:59:59
1V|107|32.155498|-77.046992|-926.0|OBS_ID: D09|2023-08-24T00:00:00|2023-08-31T23:59:59
1V|108|32.05501|-76.91139|-1300.0|SIO OBS ID 108|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|109|31.966145|-76.791687|-2206.0|OBS_ID: D90|2023-08-24T00:00:00|2023-08-31T23:59:59
1V|111|31.69895|-76.433117|-2642.0|OBS_ID: D29|2023-08-24T00:00:00|2023-08-31T23:59:59
1V|112|31.62789|-76.33909|-2707.0|SIO OBS ID 112|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|113|31.555805|-76.242775|-2724.0|OBS_ID: D26|2023-08-24T00:00:00|2023-08-31T23:59:59
1V|114|31.48477|-76.14896|-2855.0|SIO OBS ID 114|2023-08-24T00:00:00|2023-08-30T23:59:59
1V|115|31.41303|-76.054255|-3084.0|OBS_ID: D55|2023-08-25T00:00:00|2023-08-31T23:59:59
1V|116|31.34131|-75.96005|-3162.0|SIO OBS ID 116|2023-08-25T00:00:00|2023-09-04T23:59:59
1V|117|31.26953|-75.866005|-3193.0|OBS_ID: D06|2023-08-25T00:00:00|2023-09-05T23:59:59
1V|118|31.19794|-75.77151|-3256.0|SIO OBS ID 118|2023-08-25T00:00:00|2023-09-04T23:59:59
1V|119|31.126003|-75.6779|-3399.0|OBS_ID: D64|2023-08-25T00:00:00|2023-09-05T23:59:59
1V|120|31.05389|-75.58351|-3525.0|SIO OBS ID 120|2023-08-25T00:00:00|2023-09-04T23:59:59
