#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
C8|BCOV|50.5442|-126.8427|33.0|Beaver Cove, BC, CA|2020-03-31T00:00:00|2599-12-31T23:59:59
C8|MWAB|49.7411|-125.3032|1176.0|Mount Washington, BC, CA|2009-07-31T00:00:00|2599-12-31T23:59:59
C8|SPLB|49.8921|-125.6526|276.0|Strathcona Park Lodge, BC, CA|2009-07-30T00:00:00|2599-12-31T23:59:59
C8|TOFB|49.1543|-125.9078|13.0|Tofino, BC, CA|2009-02-14T00:00:00|2599-12-31T23:59:59
GD|ALBH|48.389702|-123.487503|32.0|Alberthead, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|ESQM|48.429199|-123.428802|9.0|Esquimalt, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|PGC4|48.648399|-123.450996|10.0|Pacific Geoscience Center, Sidney, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|PTHY|50.685501|-127.375397|24.4|Port Hardy, Vancouver Island, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GS|CRCK|45.530602|-122.735901|175.0|Portland urban array|2005-07-20T00:00:00|2599-12-31T23:59:59
GS|LOES|45.532299|-122.733803|232.0|Portland urban array|2005-07-20T00:00:00|2599-12-31T23:59:59
GS|TAUL1|45.522769|-123.054179|56.0|Cornelius Elementary School, Cornelius, OR,USA|2021-05-25T00:00:00|2599-12-31T23:59:59
GS|TAUL2|45.518911|-123.109937|58.0|Forest Grove Fire Dept, Forest Grove, OR, USA|2021-05-26T00:00:00|2599-12-31T23:59:59
GS|TAUL3|45.497901|-122.96268|52.0|Minter Bridge Elementary School, Hillsboro, OR, USA|2021-05-25T00:00:00|2599-12-31T23:59:59
GS|TAUL4|45.439792|-122.942326|56.0|Twin Oaks Nursery, Hillsboro, OR, USA|2021-05-25T00:00:00|2599-12-31T23:59:59
GS|TAUL5|45.614405|-123.106933|66.0|Quail Valley Golf Course, Banks, OR, USA|2021-05-25T00:00:00|2599-12-31T23:59:59
GS|TAUL6|45.513791|-123.235303|247.0|Scott land and timber, Gaston, OR, USA|2021-05-25T00:00:00|2599-12-31T23:59:59
GS|TAUL7|45.608833|-122.869734|182.0|Plumper Pumpkin Patch, Portland, OR, USA|2021-05-26T00:00:00|2599-12-31T23:59:59
IU|COR|44.5855|-123.3046|110.0|Corvallis, Oregon, USA|1989-10-26T00:00:00|2599-12-31T23:59:59
NV|BACME|48.314654|-126.058199|-897.0|Barkley Canyon MidEast|2016-06-15T17:25:43|2599-12-31T23:59:59
NV|BACND|48.34594|-126.157997|-643.3|Barkley Canyon Node|2018-06-22T03:00:00|2599-12-31T23:59:59
NV|CBC27|47.756717|-127.731602|-2656.0|Cascadia Basin, East (ODP 1027C)|2018-06-23T23:59:59|2599-12-31T23:59:59
NV|CQS64|48.6999|-126.8721|-1323.0|Clayoquot Slope, North (ODP 1364A)|2016-07-01T00:00:00|2599-12-31T23:59:59
NV|ENEF|47.958368|-129.035438|-2323.0|Endeavour East Flank|2020-06-12T01:20:13|2599-12-31T23:59:59
NV|ENHR|47.968657|-129.086738|-2162.0|Endeavour High Rise - Godzilla|2018-06-27T00:00:00|2599-12-31T23:59:59
NV|ENWF|47.959766|-129.124479|-2361.0|Endeavour West Flank|2016-06-21T00:00:00|2599-12-31T23:59:59
NV|KEMF|47.94956|-129.098691|-2190.0| Main Endeavour Field |2010-09-30T00:00:00|2599-12-31T23:59:59
NV|KEMO|47.924102|-129.1082|-2270.0|Mothra Field|2016-06-18T00:00:00|2599-12-31T23:59:59
NV|NC27|47.76258|-127.758102|-2656.0|Cascadia Basin, ODP1026|2009-09-14T00:00:00|2599-12-31T23:59:59
NV|NC89|48.670537|-126.848767|-1258.0|Clayoquot Slope, Bullseye (ODP 1089)|2009-09-17T00:00:00|2599-12-31T23:59:59
NV|NCBC|48.4275|-126.1752|-398.0|Barkley Canyon|2009-09-07T00:00:00|2599-12-31T23:59:59
NV|NCHR|47.973751|-129.082092|-2152.0|High Rise Field|2010-10-04T00:00:00|2599-12-31T23:59:59
NV|NSMTC|48.648682|-123.446182|-8.0|North Saanich Marine Technology Centre|2017-08-18T00:00:00|2599-12-31T23:59:59
OO|AXAS1|45.933555|-129.999235|-1534.0|RSN Axial Ashes 1|2014-08-01T00:00:00|2599-12-31T23:59:59
OO|AXAS2|45.933782|-130.014094|-1545.0|RSN Axial Ashes 2|2014-08-01T00:00:00|2599-12-31T23:59:59
OO|AXBA1|45.820176|-129.736709|-2607.2|RSN Axial Base 1|2014-08-08T11:14:00|2599-12-31T23:59:59
OO|AXCC1|45.954683|-130.008979|-1527.0|RSN Axial Central Caldera 1|2014-07-25T21:05:00|2599-12-31T23:59:59
OO|AXCC2|45.955001|-130.008745|-1529.9|RSN Axial Central Caldera 2|2018-07-06T07:00:00|2021-08-27T18:49:00
OO|AXEC1|45.949577|-129.9797|-1512.0|RSN Axial East Caldera 1|2014-08-01T00:00:00|2599-12-31T23:59:59
OO|AXEC2|45.939671|-129.973776|-1519.0|RSN Axial East Caldera 2|2014-07-23T22:50:02|2599-12-31T23:59:59
OO|AXEC3|45.93607|-129.978545|-1516.0|RSN Axial East Caldera 3|2014-08-01T00:00:00|2599-12-31T23:59:59
OO|AXID1|45.92572|-129.978031|-1527.5|RSN Axial International|2014-07-21T06:36:00|2599-12-31T23:59:59
OO|HYS11|44.573029|-125.152499|-818.0|RSN Hydrate Summit 1-1|2014-09-01T12:03:00|2599-12-31T23:59:59
OO|HYS12|44.573195|-125.143917|-788.0|RSN Hydrate Summit 1-2|2014-09-01T15:17:00|2599-12-31T23:59:59
OO|HYS13|44.567403|-125.144202|-790.0|RSN Hydrate Summit 1-3|2019-06-25T22:14:00|2022-08-21T14:09:00
OO|HYS14|44.569157|-125.1479|-775.0|RSN Hydrate Summit 1-4|2014-09-07T11:25:04|2599-12-31T23:59:59
OO|HYSB1|44.509791|-125.405258|-2908.0|RSN Hydrate Slope Base|2014-08-01T00:00:00|2599-12-31T23:59:59
OW|AL2H|48.38981|-123.48739|29.0| Albert Head is a community located in Metchosin, on the south coast of Vancouver Island.|2018-10-22T00:00:00|2599-12-31T23:59:59
OW|BAMF|48.83533|-125.13514|9.0| Bamfield is a community located on the west coast of Vancouver Island in British Columbia.|2018-10-22T00:00:00|2599-12-31T23:59:59
OW|BCOV|50.54427|-126.84264|36.0| Beaver Cove is a small coastal community on Northern Vancouver Island. |2018-10-22T00:00:00|2599-12-31T23:59:59
