#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
YN|OBS33|47.953701|-128.960907|-2414.0|SIO OBS ID OBS33|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS34|48.0219|-128.947205|-2273.0|SIO OBS ID OBS34|2009-08-26T00:00:00|2009-09-16T23:59:59
YN|OBS35|48.081902|-128.898102|-2514.0|WHOI OBS ID D10|2009-08-24T00:00:00|2009-09-12T23:59:59
YN|OBS36|48.147301|-128.8685|-2513.0|SIO OBS ID OBS36|2009-08-24T00:00:00|2009-09-13T23:59:59
YN|OBS37|47.880798|-129.062698|-2274.0|SIO OBS ID OBS37|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS38|47.9221|-129.049606|-2391.0|SIO OBS ID OBS38|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS39|47.9716|-129.020493|-2318.0|SIO OBS ID OBS39|2009-08-26T00:00:00|2009-09-15T23:59:59
YN|OBS40|48.009899|-129.002197|-2262.0|SIO OBS ID OBS40|2009-08-26T00:00:00|2009-09-15T23:59:59
YN|OBS41|48.053001|-128.982193|-2324.0|SIO OBS ID OBS41|2009-08-26T00:00:00|2009-09-12T23:59:59
YN|OBS42|47.752998|-129.182007|-2645.0|SIO OBS ID OBS42|2009-08-25T00:00:00|2009-09-14T23:59:59
YN|OBS43|47.816898|-129.149597|-2500.0|SIO OBS ID OBS43|2009-08-25T00:00:00|2009-09-14T23:59:59
YN|OBS44|47.869999|-129.124695|-2374.0|SIO OBS ID OBS44|2009-08-25T00:00:00|2009-09-13T23:59:59
YN|OBS45|47.912998|-129.104706|-2215.0|SIO OBS ID OBS45|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS46|47.956501|-129.083801|-2102.0|SIO OBS ID OBS46|2009-08-26T00:00:00|2009-09-15T23:59:59
YN|OBS47|47.999401|-129.063705|-2174.0|SIO OBS ID OBS47|2009-08-26T00:00:00|2009-09-15T23:59:59
YN|OBS48|48.042|-129.043793|-2288.0|SIO OBS ID OBS48|2009-08-26T00:00:00|2009-09-12T23:59:59
YN|OBS49|48.084801|-129.023605|-2467.0|SIO OBS ID OBS49|2009-08-26T00:00:00|2009-09-12T23:59:59
