#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
4S|STAK1|19.33053|-155.073547|270.0|X|2018-07-28T22:52:00|2018-12-31T23:59:59
4S|STAK2|19.3356|-155.022476|60.0|X|2018-07-27T19:48:22|2018-12-31T23:59:59
4S|STAK3|19.47225|-154.967621|357.0|X|2018-07-30T03:33:30|2018-12-31T23:59:59
4S|STAK4|19.5415|-154.900116|82.0|X|2018-07-31T20:54:04|2018-12-31T23:59:59
G|KIP|21.42|-158.0112|110.0|Kipapa, Hawaii, USA|2500-12-31T23:59:59|2599-12-31T23:59:59
HV|AHUD|19.371567|-155.263462|1051.0|Ahua, Hawaii Digital|2011-04-06T00:00:00|2599-12-31T23:59:59
HV|AIND|19.372067|-155.457228|1524.0|Ainapo Ranch, Hawaii Digital|2010-10-27T00:00:00|2599-12-31T23:59:59
HV|ALEP|19.541178|-155.644036|2894.0|Alea Permanent|2011-11-03T00:00:00|2599-12-31T23:59:59
HV|BAKK|19.85288|-155.926498|4.0|Queen Kaahumanu Hwy, Kailua-Kona, HI|2012-05-03T00:00:00|2599-12-31T23:59:59
HV|BYL|19.412087|-155.259877|1079.0|Byron's Ledge|1997-02-01T00:00:00|2599-12-31T23:59:59
HV|CACD|19.487841|-155.917274|353.0|Captain Cook Digital|2011-08-10T00:00:00|2599-12-31T23:59:59
HV|CPKD|19.391443|-155.324317|1038.0|Cone Peak|2011-04-15T00:00:00|2599-12-31T23:59:59
HV|DAND|19.35369|-155.664418|3027.0|Dandelion|2011-01-11T00:00:00|2599-12-31T23:59:59
HV|DDHD|19.387861|-154.958496|113.0|Old Kalapana Rd, Pahoa, HI|2012-04-26T00:00:00|2599-12-31T23:59:59
HV|DESD|19.333395|-155.38565|836.0|Desert|2011-05-05T00:00:00|2599-12-31T23:59:59
HV|DEVL|19.373568|-155.240608|1046.0|Devil's Throat|2012-09-19T00:00:00|2599-12-31T23:59:59
HV|ELEP|19.450382|-155.524977|3371.0|Puâu Eleâele|2017-09-21T00:00:00|2599-12-31T23:59:59
HV|ERZ1|19.496283|-154.84995|48.0|East Rift Zone 1 Temporary|2018-05-04T00:00:00|2599-12-31T23:59:59
HV|ERZ2|19.47479|-154.83369|9.0|East Rift Zone 2 Temporary|2018-05-04T00:00:00|2599-12-31T23:59:59
HV|ERZ3|19.50711|-154.82088|19.0|East Rift Zone 3 Temporary|2018-05-15T02:30:00|2599-12-31T23:59:59
HV|ERZ4|19.51702|-154.861137|80.0|East Rift Zone 4 Temporary|2018-05-16T00:00:00|2599-12-31T23:59:59
HV|FKSS|19.493654|-154.921402|179.0|Crystal Circle, Nanawale, Pahoa, HI|2013-03-27T00:00:00|2599-12-31T23:59:59
HV|HAT|19.423037|-155.26094|1097.0|Halemaumau Trail|1998-02-01T00:00:00|2599-12-31T23:59:59
HV|HBOP|19.463648|-154.933395|278.0|Kula St, Pahoa, HI|2013-03-27T00:00:00|2599-12-31T23:59:59
HV|HFA|19.495359|-155.059479|452.0|Plumeria St, Fern Acres, HI|2011-08-16T00:00:00|2599-12-31T23:59:59
HV|HGC|19.874102|-155.112167|47.0|Honomu, HI|2010-09-15T00:00:00|2599-12-31T23:59:59
HV|HLPD|19.296253|-155.307482|724.0|Hilina Pali Digital|2011-04-26T00:00:00|2599-12-31T23:59:59
HV|HMLE|19.425621|-155.220093|1108.0|Mauna Loa Estates, HI|2012-05-03T00:00:00|2599-12-31T23:59:59
HV|HOVE|19.164518|-155.749057|1592.0|Hawaiian Ocean View Estates|2016-06-29T00:00:00|2599-12-31T23:59:59
HV|HPP|19.585501|-154.988235|69.0|21st Ave, Keaau, HI|2018-05-25T20:00:00|2599-12-31T23:59:59
HV|HPUD|19.775885|-155.456033|3348.0|Hale Pohaku Digital|2011-07-13T00:00:00|2599-12-31T23:59:59
HV|HQM|19.790079|-155.097183|83.0|Papaikou, HI|2010-09-15T00:00:00|2599-12-31T23:59:59
HV|HSSD|19.602683|-155.483002|2465.0|Humuluula Sheep Station Digital|2011-05-19T00:00:00|2599-12-31T23:59:59
