#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
AF|MBEY|-8.983|33.241001|1331.0|Mbeya, Tanzania|2007-01-30T00:00:00|2599-12-31T23:59:59
AF|MZM|-11.434|34.035|1258.0|Mzuzu, Milawi, Africa|2006-01-01T00:00:00|2599-12-31T23:59:59
YQ|103B|-9.7159|34.111801|-265.0|SIO OBS ID 103B|2015-03-05T00:00:00|2015-10-25T23:59:59
YQ|104|-9.7986|34.156502|-321.0|SIO OBS ID 104|2015-03-05T00:00:00|2015-04-17T23:59:59
YQ|105|-9.8808|34.204899|-331.0|SIO OBS ID 105|2015-03-05T00:00:00|2015-04-17T23:59:59
YQ|106|-9.9636|34.250401|-375.0|SIO OBS ID 106|2015-03-05T00:00:00|2015-04-17T23:59:59
YQ|107|-10.0484|34.2981|-450.0|SIO OBS ID 107|2015-02-28T00:00:00|2015-04-21T23:59:59
YQ|108|-10.1336|34.3451|-466.0|SIO OBS ID 108|2015-02-28T00:00:00|2015-04-21T23:59:59
YQ|109|-10.218|34.3922|-492.0|SIO OBS ID 109|2015-02-28T00:00:00|2015-04-21T23:59:59
YQ|110B|-10.3224|34.396|-485.0|SIO OBS ID 110B|2015-02-28T00:00:00|2015-10-25T23:59:59
YQ|111|-10.4263|34.410301|-458.0|SIO OBS ID 111|2015-02-28T00:00:00|2015-04-21T23:59:59
YQ|112|-10.5291|34.4035|-454.0|SIO OBS ID 112|2015-02-28T00:00:00|2015-04-21T23:59:59
YQ|113|-10.6331|34.406898|-472.0|SIO OBS ID 113|2015-02-28T00:00:00|2015-04-16T23:59:59
YQ|114|-10.7366|34.410099|-514.0|SIO OBS ID 114|2015-02-28T00:00:00|2015-04-16T23:59:59
YQ|115|-10.8407|34.413601|-563.0|SIO OBS ID 115|2015-02-27T00:00:00|2015-04-16T23:59:59
YQ|116|-10.9653|34.418999|-679.0|SIO OBS ID 116|2015-02-27T00:00:00|2015-04-16T23:59:59
YQ|117|-11.0888|34.426899|-683.0|SIO OBS ID 117|2015-02-27T00:00:00|2015-04-16T23:59:59
YQ|118B|-11.214|34.429699|-605.0|SIO OBS ID 118B|2015-02-27T00:00:00|2015-10-25T23:59:59
YQ|119|-11.3357|34.443699|-560.0|SIO OBS ID 119|2015-02-27T00:00:00|2015-04-16T23:59:59
