#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
YL|LBA01|-20.970699|-176.051697|-2406.0|WHOI OBS ID D15|2009-01-22T00:00:00|2009-02-11T23:59:59
YL|LBA02|-20.896799|-176.035995|-2416.0|WHOI OBS ID D44|2009-01-22T00:00:00|2009-02-11T23:59:59
YL|LBA03|-20.823|-176.019897|-2334.0|WHOI OBS ID D02|2009-01-22T00:00:00|2009-02-11T23:59:59
YL|LBA04|-20.7523|-175.985901|-2200.0|WHOI OBS ID D49|2009-01-22T00:00:00|2009-02-11T23:59:59
YL|LBA17|-20.697399|-176.071106|-2300.0|WHOI OBS ID D39|2009-01-23T00:00:00|2009-02-25T23:59:59
YL|LBA18|-20.7227|-176.139999|-2330.0|WHOI OBS ID D08|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA19|-20.770399|-176.089905|-2304.0|WHOI OBS ID D32|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA20|-20.791901|-176.155594|-2217.0|WHOI OBS ID D25|2009-01-23T00:00:00|2009-02-11T23:59:59
YL|LBA21|-20.8456|-176.102493|-2389.0|WHOI OBS ID D03|2009-01-23T00:00:00|2009-02-11T23:59:59
YL|LBA22|-20.8701|-176.177094|-2099.0|WHOI OBS ID D62|2009-01-23T00:00:00|2009-02-11T23:59:59
YL|LBA25|-20.899599|-176.222794|-2247.0|WHOI OBS ID D55|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA26|-20.927299|-176.280106|-2422.0|WHOI OBS ID D34|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA27|-20.8533|-176.263504|-2483.0|WHOI OBS ID D09|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA28|-20.8258|-176.205994|-2143.0|WHOI OBS ID D31|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA29|-20.7798|-176.244904|-2359.0|WHOI OBS ID D11|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA30|-20.752199|-176.187805|-2129.0|WHOI OBS ID D26|2009-01-23T00:00:00|2009-02-10T23:59:59
YL|LBA46|-20.51|-176.245895|-2375.0|WHOI OBS ID D07|2009-01-24T00:00:00|2009-02-26T23:59:59
YL|LBA47|-20.583599|-176.261902|-2273.0|WHOI OBS ID D40|2009-01-24T00:00:00|2009-02-26T23:59:59
YL|LBA48|-20.658001|-176.278107|-2367.0|WHOI OBS ID D51|2009-01-24T00:00:00|2009-03-02T23:59:59
YL|LBA49|-20.7325|-176.294006|-2365.0|WHOI OBS ID D06|2009-01-24T00:00:00|2009-02-10T23:59:59
YL|LBA50|-20.8064|-176.309906|-2432.0|WHOI OBS ID D10|2009-01-24T00:00:00|2009-02-10T23:59:59
YL|LBA60|-20.306999|-176.297806|-2298.0|WHOI OBS ID D44|2009-02-09T00:00:00|2009-02-25T23:59:59
YL|LBA61|-20.2309|-176.292999|-2390.0|WHOI OBS ID D15|2009-02-09T00:00:00|2009-02-25T23:59:59
YL|LBA62|-20.163099|-176.278397|-2607.0|WHOI OBS ID D62|2009-02-09T00:00:00|2009-02-25T23:59:59
YL|LBA63|-20.082399|-176.260895|-2623.0|WHOI OBS ID D08|2009-02-09T00:00:00|2009-02-25T23:59:59
YL|LBA64|-20.134501|-176.193298|-2466.0|WHOI OBS ID D32|2009-02-09T00:00:00|2009-02-25T23:59:59
YL|LBA65|-20.2082|-176.209106|-2489.0|WHOI OBS ID D26|2009-02-09T00:00:00|2009-02-27T23:59:59
YL|LBA74|-20.1243|-176.035797|-2504.0|WHOI OBS ID D11|2009-02-09T00:00:00|2009-02-26T23:59:59
YL|LBA75|-20.174999|-175.981094|-2352.0|WHOI OBS ID D49|2009-02-10T00:00:00|2009-02-26T23:59:59
YL|LBA76|-20.200199|-176.048203|-2382.0|WHOI OBS ID D55|2009-02-09T00:00:00|2009-02-27T23:59:59
YL|LBA77|-20.2488|-175.997406|-2432.0|WHOI OBS ID D09|2009-02-10T00:00:00|2009-02-26T23:59:59
YL|LBA78|-20.273701|-176.069901|-2445.0|WHOI OBS ID D02|2009-02-10T00:00:00|2009-02-27T23:59:59
YL|LBA79|-20.348499|-176.083099|-2392.0|WHOI OBS ID D06|2009-02-10T00:00:00|2009-02-27T23:59:59
YL|LBA80|-20.3214|-176.018402|-2416.0|WHOI OBS ID D10|2009-02-10T00:00:00|2009-02-26T23:59:59
YL|LBA81|-20.373501|-175.951004|-2132.0|WHOI OBS ID D50|2009-02-10T00:00:00|2009-02-24T23:59:59
YL|LBA82|-20.292801|-175.944199|-2150.0|WHOI OBS ID D25|2009-02-10T00:00:00|2009-02-24T23:59:59
YL|LBA83|-20.2248|-175.919098|-2207.0|WHOI OBS ID D03|2009-02-10T00:00:00|2009-02-24T23:59:59
YL|LBA84|-20.152399|-175.903397|-2254.0|WHOI OBS ID D34|2009-02-10T00:00:00|2009-02-24T23:59:59
