#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
MI|AFOK|16.3416|145.6746|418.0|AFOK, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|ANA2|16.3412|145.7115|317.0|ANA2, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|ANLB|16.3653|145.646|190.0|ANSW, Northern Marianas Islands|2011-06-01T00:00:00|2599-12-31T23:59:59
MI|ANNE|16.358|145.7162|0.0|ANNE, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|ANSV|16.3417|145.6734|390.0|ANSW, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|ANSW|16.3417|145.6734|390.0|ANSW, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|DPS|15.24082|145.78909|144.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
MI|FLX|15.23388|145.79172|71.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
MI|GOLF|15.22511|145.78625|75.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
MI|HTSP|15.23166|145.79851|38.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
MI|SAP2|15.2148|145.7516|199.0|SAP2, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
MI|SARN|16.7002|145.7795|451.0|SARN, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
SS|SAIP|15.2143|145.751907|229.0|SAIP|2007-02-06T00:00:00|2014-01-01T00:00:00
XF|AGRI|18.7362|145.652893|87.9|CNMI AGRI, Land Sta|2012-02-19T00:00:00|2013-02-15T23:59:59
XF|ALMN|17.6124|145.821198|109.7|CNMI ALMN, Land Sta|2012-02-17T00:00:00|2013-02-15T23:59:59
XF|B01|16.040501|149.281494|-5321.0|SIO OBS ID B01|2012-01-29T00:00:00|2013-02-04T23:59:59
XF|B02|16.515301|148.334305|-5811.0|SIO OBS ID B02|2012-01-28T00:00:00|2013-02-04T23:59:59
XF|B03|16.172899|147.979797|-5443.0|SIO OBS ID B03|2012-01-27T00:00:00|2013-02-02T23:59:59
XF|B04|16.499901|147.531204|-4844.0|LDEO OBS B04|2012-01-27T00:00:00|2013-02-01T23:59:59
XF|B05|16.6626|146.958603|-3813.0|LDEO OBS B05|2012-01-28T00:00:00|2013-02-09T23:59:59
XF|B06|17.2486|146.802795|-3864.0|LDEO OBS B06|2012-02-01T00:00:00|2013-02-09T23:59:59
XF|B07|17.2096|147.601196|-4285.0|LDEO OBS B07|2012-02-01T00:00:00|2013-02-10T23:59:59
XF|B08|17.428801|148.180405|-4191.0|LDEO OBS B08|2012-02-01T00:00:00|2013-02-10T23:59:59
XF|B09|16.9986|148.512405|-5897.0|SIO OBS ID B09|2012-01-28T00:00:00|2013-02-03T23:59:59
XF|B10|16.7971|149.580994|-5393.0|SIO OBS ID B10|2012-01-29T00:00:00|2013-02-04T23:59:59
XF|B11|17.5944|149.650101|-5196.0|SIO OBS ID B11|2012-01-30T00:00:00|2013-02-05T23:59:59
XF|B12|17.631901|148.591705|-5909.0|SIO OBS ID B12|2012-01-31T00:00:00|2013-02-06T23:59:59
XF|B13|17.8734|147.530807|-4559.0|LDEO OBS B13|2012-02-02T00:00:00|2013-02-10T23:59:59
XF|B14|17.9988|146.747803|-3663.0|LDEO OBS B14|2012-02-02T00:00:00|2013-02-10T23:59:59
XF|B15|18.5613|146.902695|-3649.0|LDEO OBS B15|2012-02-04T00:00:00|2013-02-10T23:59:59
XF|B16|18.2295|147.509705|-5014.0|LDEO OBS B16|2012-02-04T00:00:00|2013-02-10T23:59:59
XF|B17|18.4245|147.9375|-4381.0|LDEO OBS B17|2012-02-04T00:00:00|2013-02-10T23:59:59
XF|B18|18.6635|148.492706|-5671.0|SIO OBS ID B18|2012-02-03T00:00:00|2013-02-06T23:59:59
XF|B19|18.102501|148.521194|-5949.0|SIO OBS ID B19|2012-02-02T00:00:00|2013-02-06T23:59:59
XF|B20|18.4828|149.454498|-5563.0|SIO OBS ID B20|2012-01-31T00:00:00|2013-02-05T23:59:59
XF|BAZL|15.1866|145.744003|544.2|CNMI BAZL, Land Sta|2012-02-22T00:00:00|2013-02-15T23:59:59
XF|E01|18.1954|149.478195|-5414.2|SIO OBS ID E01|2012-01-30T00:00:00|2012-03-10T23:59:59
XF|E02|18.0172|149.444702|-5042.0|SIO OBS ID E02|2012-01-30T00:00:00|2012-03-10T23:59:59
XF|E03|17.8391|149.409607|-5222.0|SIO OBS ID E03|2012-01-30T00:00:00|2012-03-10T23:59:59
XF|E06|17.3333|149.300003|-5353.2|WHOI OBS ID D09|2012-01-28T00:00:00|2012-03-08T23:59:59
XF|E07|17.167|149.279205|-5404.0|SIO OBS ID E07|2012-01-30T00:00:00|2012-03-08T23:59:59
XF|E08|16.9988|149.248001|-5482.0|SIO OBS ID E08|2012-01-30T00:00:00|2012-03-08T23:59:59
XF|E09|16.8325|149.214203|-5283.0|SIO OBS ID E09|2012-01-30T00:00:00|2012-03-08T23:59:59
XF|E11|16.4874|149.148605|-4468.3|SIO OBS ID E11|2012-01-29T00:00:00|2012-03-07T23:59:59
XF|E12|16.311199|149.116196|-4981.6|SIO OBS ID E12|2012-01-29T00:00:00|2012-03-07T23:59:59
XF|GUGU|17.3102|145.832901|91.6|CNMI GUGU, Land Sta|2012-02-17T00:00:00|2013-02-15T23:59:59
XF|L01|16.564899|147.435394|-4576.8|SIO OBS ID L01|2012-01-27T00:00:00|2012-03-06T23:59:59
XF|L02|17.2999|147.470795|-3536.6|SIO OBS ID L02|2012-02-01T00:00:00|2012-03-14T23:59:59
XF|L03|17.482599|147.744293|-5000.0|LDEO MOORED DPG/HYDRO L03|2012-01-31T00:00:00|2013-01-25T23:59:59
XF|L04|17.116699|148.199997|-4941.9|WHOI OBS ID D41|2012-01-27T00:00:00|2012-03-05T23:59:59
XF|L05|17.299999|148.850006|-5011.6|WHOI OBS ID D10|2012-01-28T00:00:00|2012-03-08T23:59:59
XF|L06|17.483299|147.266693|-3977.5|WHOI OBS ID D11|2012-01-30T00:00:00|2012-03-13T23:59:59
XF|L07|18.209101|147.3125|-3248.9|SIO OBS ID L07|2012-02-03T00:00:00|2012-03-12T23:59:59
XF|L08|18.3333|148.033295|-4901.2|WHOI OBS ID D34|2012-02-01T00:00:00|2012-03-10T23:59:59
XF|N01|17.870001|146.390396|-3272.5|SIO OBS ID N01|2012-02-01T00:00:00|2012-03-13T23:59:59
XF|N02|17.869301|146.569595|-3517.1|SIO OBS ID N02|2012-02-01T00:00:00|2012-03-13T23:59:59
XF|N03|17.866699|146.75|-3302.1|WHOI OBS ID D25|2012-01-30T00:00:00|2012-03-12T23:59:59
XF|N04|17.867701|146.934692|-3462.0|SIO OBS ID N04|2012-02-01T00:00:00|2012-03-12T23:59:59
XF|N05|17.8657|147.144699|-3826.9|SIO OBS ID N05|2012-02-01T00:00:00|2012-03-12T23:59:59
XF|N06|17.864799|147.333694|-4080.8|SIO OBS ID N06|2012-02-01T00:00:00|2012-03-12T23:59:59
XF|N07|17.8748|147.532104|-4523.0|SIO OBS ID N07|2012-02-01T00:00:00|2012-03-11T23:59:59
XF|N08|17.85|147.699997|-4998.6|WHOI OBS ID D51|2012-01-31T00:00:00|2012-03-10T23:59:59
XF|N09|17.8596|147.900803|-5484.0|LDEO MOORED DPG/HYDRO N09|2012-02-02T00:00:00|2013-02-07T23:59:59
XF|N10|17.85|148.083298|-4901.3|WHOI OBS ID D40|2012-01-31T00:00:00|2012-03-10T23:59:59
XF|N11|17.8556|148.279907|-5000.0|LDEO MOORED DPG/HYDRO N11|2012-02-03T00:00:00|2013-01-27T23:59:59
XF|N12|17.85|148.466705|-5013.7|WHOI OBS ID D16|2012-01-29T00:00:00|2012-03-10T23:59:59
XF|N13|17.85|148.649994|-4965.8|WHOI OBS ID D02|2012-01-29T00:00:00|2012-03-10T23:59:59
XF|N14|17.8333|148.833298|-4979.4|WHOI OBS ID D32|2012-01-29T00:00:00|2012-03-10T23:59:59
XF|N15|17.8333|149.033295|-5018.4|WHOI OBS ID D26|2012-01-29T00:00:00|2012-03-09T23:59:59
XF|N16|17.8426|149.224396|-5458.0|SIO OBS ID N16|2012-01-31T00:00:00|2012-03-10T23:59:59
