#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
AK|U33K|56.1146|-133.121|11.0|Whale Pass, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AK|V35K|55.3279|-131.615|64.0|Ketchikan, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AT|CRAG|55.468941|-133.122971|57.9|Craig, Alaska|2004-12-10T00:00:00|2599-12-31T23:59:59
C8|BNKB|53.3318|-129.9017|421.0|Banks Island, BC, CA|2014-08-20T00:00:00|2599-12-31T23:59:59
C8|GRIB|53.3385|-129.1383|418.0|Gribbell Island, BC, CA|2017-08-30T00:00:00|2599-12-31T23:59:59
C8|GRNB|53.8468|-129.9575|461.0|Grenville Island, BC, CA|2014-08-24T00:00:00|2599-12-31T23:59:59
C8|HWKB|53.5984|-129.1544|778.0|Hawksbury Island, BC, CA|2014-08-21T00:00:00|2599-12-31T23:59:59
CN|MASB|54.0244|-132.0223|3.0|Masset, BC, CA|2024-01-23T20:00:00|2599-12-31T23:59:59
US|WRAK|56.4191|-132.3466|80.9|Wrangell Island, Southeastern Alaska, Alaska, USA|2006-08-27T00:00:00|2599-12-31T23:59:59
YI|12S01|55.10332|-135.75949|-2263.0|SIO OBS ID 12S01|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S02|55.15589|-135.63181|-2084.0|SIO OBS ID 12S02|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S03|55.20815|-135.50342|-2021.0|SIO OBS ID 12S03|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S04|55.26036|-135.37511|-2105.0|OBS_ID: D25|2021-07-28T00:00:00|2021-08-04T23:59:59
YI|12S05|55.31258|-135.24642|-2723.0|SIO OBS ID 12S05|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S06|55.364601|-135.11717|-1332.0|SIO OBS ID 12S06|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S07|55.39057|-135.05221|-1336.0|OBS_ID: D56|2021-07-28T00:00:00|2021-08-04T23:59:59
YI|12S08|55.41637|-134.9877|-683.0|SIO OBS ID 12S08|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S09|55.44244|-134.92266|-413.0|SIO OBS ID 12S09|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S10|55.46779|-134.85811|-301.0|OBS_ID: D55|2021-07-28T00:00:00|2021-08-04T23:59:59
YI|12S11|55.493857|-134.79301|-299.0|SIO OBS ID 12S11|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S12|55.519505|-134.72801|-303.0|SIO OBS ID 12S12|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S13|55.571208|-134.59823|-282.0|OBS_ID: D35|2021-07-28T00:00:00|2021-08-04T23:59:59
YI|12S14|55.62193|-134.46736|-227.0|SIO OBS ID 12S14|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S15|55.67307|-134.33627|-208.0|SIO OBS ID 12S15|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|12S16|55.724|-134.2058|-156.0|SIO OBS ID 12S16|2021-07-28T00:00:00|2021-08-03T23:59:59
YI|1AS03|53.91332|-133.79831|-1167.0|SIO OBS ID 1AS03|2021-07-22T00:00:00|2021-08-01T23:59:59
YI|1AS04|54.01076|-133.87854|-1188.0|SIO OBS ID 1AS04|2021-07-22T00:00:00|2021-08-01T23:59:59
YI|1AS05|54.10755|-133.95823|-1580.0|OBS_ID: D14|2021-07-22T00:00:00|2021-08-02T23:59:59
YI|1AS06|54.204725|-134.03881|-1252.0|SIO OBS ID 1AS06|2021-07-22T00:00:00|2021-08-01T23:59:59
YI|1AS07|54.30219|-134.1192|-1314.0|SIO OBS ID 1AS07|2021-07-23T00:00:00|2021-08-01T23:59:59
YI|1AS08|54.39876|-134.20186|-1580.0|OBS_ID: D29|2021-07-23T00:00:00|2021-08-02T23:59:59
YI|1AS09|54.49514|-134.28353|-1823.0|SIO OBS ID 1AS09|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS10|54.5925|-134.36559|-2115.0|SIO OBS ID 1AS10|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS11|54.68915|-134.44787|-2254.0|OBS_ID: D10|2021-07-27T00:00:00|2021-08-01T23:59:59
YI|1AS12|54.75005|-134.50013|-2168.0|SIO OBS ID 1AS12|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS13|54.89944|-134.62875|-1945.0|SIO OBS ID 1AS13|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS14|54.97911|-134.69775|-1903.0|OBS_ID: D06|2021-07-27T00:00:00|2021-08-01T23:59:59
YI|1AS15|55.07571|-134.78178|-2066.0|SIO OBS ID 1AS15|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS16|55.17238|-134.86631|-1502.0|SIO OBS ID 1AS16|2021-07-27T00:00:00|2021-07-31T23:59:59
YI|1AS17|55.26865|-134.95125|-1669.0|OBS_ID: D90|2021-07-27T00:00:00|2021-08-03T23:59:59
YI|1AS18|55.36504|-135.03668|-1437.0|SIO OBS ID 1AS18|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS19|55.461298|-135.12277|-955.0|SIO OBS ID 1AS19|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS20|55.55737|-135.20902|-1465.0|OBS_ID: D63|2021-07-27T00:00:00|2021-08-03T23:59:59
YI|1AS21|55.65351|-135.29534|-795.0|SIO OBS ID 1AS21|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS22|55.749735|-135.38254|-733.0|SIO OBS ID 1AS22|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS23|55.84562|-135.4699|-1229.0|OBS_ID: D04|2021-07-27T00:00:00|2021-08-03T23:59:59
YI|1AS24|55.9427|-135.5574|-928.0|SIO OBS ID 1AS24|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS25|56.037517|-135.64616|-1067.0|SIO OBS ID 1AS25|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1AS26|56.13342|-135.73487|-1349.0|OBS_ID: D28|2021-07-25T00:00:00|2021-08-03T23:59:59
YI|1AS27|56.22945|-135.82404|-1590.0|SIO OBS ID 1AS27|2021-07-27T00:00:00|2021-08-02T23:59:59
YI|1BS01|52.45609|-132.1885|-1855.0|SIO OBS ID 1BS01|2021-07-19T00:00:00|2021-07-26T23:59:59
YI|1BS02|52.5456|-132.28721|-1876.0|SIO OBS ID 1BS02|2021-07-19T00:00:00|2021-07-26T23:59:59
YI|1BS03|52.5625|-132.3088|-1841.0|SIO OBS ID 1BS03|2021-07-19T00:00:00|2021-07-26T23:59:59
YI|1BS04|52.7247|-132.4856|-1439.2|OBS_ID: D10|2021-07-19T00:00:00|2021-07-27T23:59:59
YI|1BS05|52.8135|-132.5862|-1046.0|SIO OBS ID 1BS05|2021-07-19T00:00:00|2021-07-26T23:59:59
YI|1BS06|52.9034|-132.6854|-1187.0|SIO OBS ID 1BS06|2021-07-19T00:00:00|2021-07-22T23:59:59
YI|1BS07|52.9924|-132.7872|-1206.6|OBS_ID: D09|2021-07-19T00:00:00|2021-07-23T23:59:59
YI|1BS08|53.08166|-132.88877|-1160.0|SIO OBS ID 1BS08|2021-07-19T00:00:00|2021-07-22T23:59:59
YI|1BS09|53.17054|-132.99048|-798.0|SIO OBS ID 1BS09|2021-07-19T00:00:00|2021-07-22T23:59:59
YI|1BS10|53.2593|-133.0926|-717.7|OBS_ID: D29|2021-07-19T00:00:00|2021-07-23T23:59:59
YI|1BS11|53.3481|-133.19553|-914.0|SIO OBS ID 1BS11|2021-07-19T00:00:00|2021-07-22T23:59:59
YI|1BS12|53.43697|-133.29829|-1657.0|SIO OBS ID 1BS12|2021-07-20T00:00:00|2021-07-22T23:59:59
YI|1BS13|53.5255|-133.4018|-1838.0|OBS_ID: D14|2021-07-20T00:00:00|2021-07-23T23:59:59
YI|1BS14|53.61399|-133.50603|-1988.0|SIO OBS ID 1BS14|2021-07-20T00:00:00|2021-07-22T23:59:59
YI|1BS15|53.71076|-133.62545|-2107.0|SIO OBS ID 1BS15|2021-07-20T00:00:00|2021-08-01T23:59:59
YI|1BS16|53.80345|-133.717|-1035.8|OBS_ID: D49|2021-07-20T00:00:00|2021-08-02T23:59:59
YI|2S01|53.5928|-133.19121|-702.0|SIO OBS ID 2S01|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S02|53.69006|-133.26993|-426.0|OBS_ID: D49|2021-08-01T00:00:00|2021-08-08T23:59:59
YI|2S03|53.78734|-133.34932|-237.0|SIO OBS ID 2S03|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S04|53.8843|-133.4289|-180.0|SIO OBS ID 2S04|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S05|53.9811|-133.5088|-205.0|SIO OBS ID 2S05|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S06|54.07849|-133.58874|-363.0|OBS_ID: D14|2021-08-01T00:00:00|2021-08-08T23:59:59
YI|2S07|54.17567|-133.66934|-280.0|SIO OBS ID 2S07|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S08|54.27277|-133.75061|-245.0|SIO OBS ID 2S08|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S09|54.369701|-133.83182|-360.0|SIO OBS ID 2S09|2021-08-01T00:00:00|2021-08-07T23:59:59
YI|2S10|54.46644|-133.91359|-358.0|OBS_ID: D29|2021-08-01T00:00:00|2021-08-08T23:59:59
