#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
7D|FN01A|46.882|-124.333702|-54.0|LDEO Trawl-Resistant OBS Site FN01A|2011-07-27T00:00:00|2012-07-21T23:59:59
7D|FN03A|46.886799|-124.525101|-90.0|LDEO Trawl-Resistant OBS Site FN03A|2011-07-28T00:00:00|2012-07-15T23:59:59
7D|FN06A|46.922298|-124.731598|-134.0|LDEO Trawl-Resistant OBS Site FN06A|2011-07-30T00:00:00|2012-07-19T23:59:59
7D|FN07A|46.855499|-124.786499|-154.0|LDEO Trawl-Resistant OBS Site FN07A|2011-07-28T00:00:00|2012-07-20T23:59:59
7D|FN08A|46.888802|-124.8769|-177.0|LDEO Trawl-Resistant OBS Site FN08A|2011-07-29T00:00:00|2012-07-22T23:59:59
7D|FN09A|46.840099|-124.887703|-198.0|LDEO Trawl-Resistant OBS Site FN09A|2011-07-26T00:00:00|2012-07-20T23:59:59
7D|FN12A|46.8885|-125.119202|-650.0|LDEO Trawl-Resistant OBS Site FN12A|2011-07-27T00:00:00|2012-07-20T23:59:59
7D|FN14A|47.024799|-124.964699|-173.0|LDEO Trawl-Resistant OBS Site FN14A|2011-07-31T00:00:00|2012-07-20T23:59:59
7D|FN16A|46.799599|-125.516098|-1907.0|LDEO OBS STANDARD DEEP|2011-10-17T00:00:00|2012-07-21T23:59:59
7D|FN18A|46.699799|-124.7248|-163.0|LDEO Trawl-Resistant OBS Site FN18A|2011-07-30T00:00:00|2012-07-18T23:59:59
7D|FN19A|46.729801|-124.367104|-75.0|LDEO Trawl-Resistant OBS Site FN19A|2011-07-30T00:00:00|2012-07-21T23:59:59
7D|J06A|43.251499|-128.800995|-3224.0|WHOI OBS ID S81|2011-11-19T00:00:00|2012-05-14T23:59:59
7D|J17B|43.790001|-124.614799|-286.0|LDEO OBS TRAWL-RESISTANT|2012-07-16T00:00:00|2013-06-29T23:59:59
7D|J23A|44.844002|-129.682495|-2655.0|WHOI OBS ID S80|2011-11-21T00:00:00|2012-05-15T23:59:59
7D|J25A|44.4729|-124.621597|-142.8|SIO OBS ID J25A|2011-10-21T00:00:00|2012-07-18T23:59:59
7D|J25B|44.471298|-124.621696|-147.0|LDEO OBS TRAWL-RESISTANT|2012-07-15T00:00:00|2013-06-27T23:59:59
7D|J26A|44.654701|-125.4664|-2864.0|LDEO Standard Deep OBS Site J26A|2011-10-21T00:00:00|2012-07-15T23:59:59
7D|J28A|45.063599|-127.156403|-2867.0|WHOI OBS ID S84|2011-11-16T00:00:00|2012-05-16T23:59:59
7D|J29A|45.175701|-128.008408|-2849.0|WHOI OBS ID T102|2011-11-20T00:00:00|2012-05-16T23:59:59
7D|J30A|45.424198|-128.906906|-2824.0|WHOI OBS ID T106|2011-11-20T00:00:00|2012-05-15T23:59:59
7D|J31A|45.553101|-129.672699|-2657.0|WHOI OBS ID T105|2011-11-21T00:00:00|2012-05-16T23:59:59
7D|J33A|45.106602|-124.570801|-348.7|SIO OBS ID J33A|2011-10-16T00:00:00|2012-07-19T23:59:59
7D|J33B|45.106602|-124.570602|-350.0|LDEO OBS TRAWL-RESISTANT|2012-07-14T00:00:00|2013-06-26T23:59:59
7D|J34A|45.305698|-125.414497|-2574.0|LDEO Standard Deep OBS Site J34A|2011-10-16T00:00:00|2012-07-17T23:59:59
7D|J35A|45.498901|-126.2668|-2662.0|SIO OBS ID J35A|2011-10-19T00:00:00|2012-07-18T23:59:59
7D|J36A|45.685501|-127.122498|-2821.0|SIO OBS ID J36A|2011-10-19T00:00:00|2012-07-18T23:59:59
7D|J37A|45.864201|-127.985298|-2862.0|WHOI OBS ID T109|2011-11-28T00:00:00|2012-05-16T23:59:59
7D|J38A|46.039501|-128.853104|-2734.0|WHOI OBS ID T114|2011-11-23T00:00:00|2012-05-17T23:59:59
7D|J39A|46.175999|-129.644104|-2659.0|WHOI OBS ID T101|2011-11-22T00:00:00|2012-05-17T23:59:59
7D|J41A|45.811901|-124.537201|-175.0|LDEO Trawl-Resistant OBS Site J41A|2011-07-25T00:00:00|2012-07-13T23:59:59
7D|J42A|45.933102|-125.299698|-1540.0|LDEO Standard Deep OBS Site J42A|2011-10-16T00:00:00|2012-07-17T23:59:59
7D|J43A|46.137798|-126.172096|-2654.4|SIO OBS ID J43A|2011-10-19T00:00:00|2012-07-17T23:59:59
7D|J44A|46.323002|-127.039001|-2724.1|SIO OBS ID J44A|2011-10-19T00:00:00|2012-07-18T23:59:59
7D|J45A|46.520901|-127.9049|-2757.0|WHOI OBS ID T111|2011-11-28T00:00:00|2012-05-18T23:59:59
7D|J46A|46.663898|-128.7883|-2744.0|WHOI OBS ID S86|2011-11-23T00:00:00|2012-05-18T23:59:59
7D|J47A|46.8433|-129.713501|-2685.0|WHOI OBS ID T108|2011-11-23T00:00:00|2012-05-17T23:59:59
7D|J48A|47.130402|-130.651306|-2973.0|WHOI OBS ID S85|2011-11-23T00:00:00|2012-05-17T23:59:59
7D|J49A|46.437801|-124.427498|-120.0|LDEO Trawl-resistant OBS Site J49A|2011-07-26T00:00:00|2012-07-13T23:59:59
7D|J50A|46.640202|-125.299103|-1909.0|LDEO Standard Deep OBS Site J50A|2011-10-17T00:00:00|2012-07-20T23:59:59
7D|J51A|46.797001|-126.164101|-2610.0|LDEO OBS STANDARD DEEP|2011-10-19T00:00:00|2012-08-07T23:59:59
7D|J52A|46.992001|-127.0159|-2613.0|WHOI OBS ID T107|2011-11-28T00:00:00|2012-05-18T23:59:59
7D|J53A|47.1642|-127.922096|-2686.0|WHOI OBS ID S82|2011-11-28T00:00:00|2012-05-18T23:59:59
7D|J54A|47.3358|-128.8116|-2662.0|WHOI OBS ID T115|2011-11-27T00:00:00|2012-05-18T23:59:59
7D|J55A|47.530499|-129.707596|-2800.0|WHOI OBS ID T112|2011-11-24T00:00:00|2012-05-19T23:59:59
7D|J57A|47.080101|-124.4505|-55.8|SIO OBS ID J57A|2011-10-17T00:00:00|2012-07-15T23:59:59
7D|J58A|47.318802|-125.534401|-1511.0|LDEO Standard Deep OBS|2011-10-18T00:00:00|2012-07-11T23:59:59
7D|J59A|47.509602|-126.415298|-2371.0|LDEO OBS STANDARD DEEP|2011-10-19T00:00:00|2012-07-11T23:59:59
7D|J61A|47.872501|-128.197205|-2644.0|WHOI OBS ID T113|2011-11-27T00:00:00|2012-05-20T23:59:59
7D|J63A|48.206501|-130.003296|-2882.0|WHOI OBS ID S83|2011-11-25T00:00:00|2012-05-19T23:59:59
