#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1E|OS134|36.285831|24.913763|-517.0|SIO OBS ID OS134|2015-11-22T00:00:00|2015-12-10T23:59:59
1E|OS135|36.59309|25.780199|-703.0|SIO OBS ID OS135|2015-11-20T00:00:00|2015-12-09T23:59:59
1E|OS136|36.544945|25.653063|-327.0|SIO OBS ID OS136|2015-11-20T00:00:00|2015-12-09T23:59:59
1E|OS137|36.520557|25.589087|-327.0|SIO OBS ID OS137|2015-11-20T00:00:00|2015-12-08T23:59:59
1E|OS138|36.496101|25.524099|-343.8|WHOI OBS ID D32|2015-11-18T00:00:00|2015-12-08T23:59:59
1E|OS139|36.472698|25.466299|-277.9|WHOI OBS ID D16|2015-11-19T00:00:00|2015-12-08T23:59:59
1E|OS140|36.437199|25.377899|-383.2|WHOI OBS ID D55|2015-11-19T00:00:00|2015-12-08T23:59:59
1E|OS141|36.409355|25.307932|-70.0|SIO OBS ID OS141|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS142|36.401814|25.275894|-263.0|SIO OBS ID OS142|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS143|36.385452|25.245848|-355.0|SIO OBS ID OS143|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS144|36.371269|25.199457|-432.0|SIO OBS ID OS144|2015-11-21T00:00:00|2015-12-07T23:59:59
1E|OS145|36.357353|25.164661|-476.0|SIO OBS ID OS145|2015-11-21T00:00:00|2015-12-07T23:59:59
1E|OS146|36.349602|25.145201|-494.0|WHOI OBS ID D44|2015-11-19T00:00:00|2015-12-09T23:59:59
1E|OS147|36.335999|25.1103|-512.6|WHOI OBS ID D09|2015-11-20T00:00:00|2015-12-10T23:59:59
1E|OS148|36.310902|25.051701|-539.4|WHOI OBS ID D35|2015-11-20T00:00:00|2015-12-10T23:59:59
1E|OS149|36.302608|25.027534|-535.0|SIO OBS ID OS149|2015-11-22T00:00:00|2015-12-10T23:59:59
1E|OS150|36.2859|24.985901|-520.5|WHOI OBS ID D04|2015-11-20T00:00:00|2015-12-10T23:59:59
1E|OS151|36.267799|24.9356|-518.2|WHOI OBS ID D02|2015-11-20T00:00:00|2015-12-10T23:59:59
1E|OS153|36.622799|25.917999|-705.3|WHOI OBS ID D11|2015-11-18T00:00:00|2015-12-09T23:59:59
1E|OS154|36.589951|25.835037|-684.0|SIO OBS ID OS154|2015-11-20T00:00:00|2015-12-09T23:59:59
1E|OS155|36.561787|25.760651|-689.0|SIO OBS ID OS155|2015-11-20T00:00:00|2015-12-08T23:59:59
1E|OS156|36.5369|25.697201|-292.4|WHOI OBS ID D31|2015-11-18T00:00:00|2015-12-08T23:59:59
1E|OS157|36.486828|25.56867|-373.0|SIO OBS ID OS157|2015-11-20T00:00:00|2015-12-08T23:59:59
1E|OS158|36.462032|25.504393|-292.0|SIO OBS ID OS158|2015-11-20T00:00:00|2015-12-08T23:59:59
1E|OS160|36.420811|25.371138|-380.0|SIO OBS ID OS160|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS161|36.392525|25.315357|-23.0|SIO OBS ID OS161|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS162|36.3759|25.2826|-261.1|WHOI OBS ID D56|2015-11-19T00:00:00|2015-12-08T23:59:59
1E|OS163|36.367626|25.25458|-359.0|SIO OBS ID OS163|2015-11-21T00:00:00|2015-12-08T23:59:59
1E|OS164|36.351501|25.219999|-436.8|WHOI OBS ID D06|2015-11-19T00:00:00|2015-12-08T23:59:59
1E|OS165|36.340748|25.189852|-472.0|SIO OBS ID OS165|2015-11-21T00:00:00|2015-12-07T23:59:59
1E|OS166|36.327911|25.158621|-499.0|SIO OBS ID OS166|2015-11-21T00:00:00|2015-12-09T23:59:59
