#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
ZL|A01|33.629501|156.598007|-5420.0|WHOI OBS ID D31|2010-07-28T00:00:00|2010-08-30T23:59:59
ZL|A02|33.550098|156.791107|-5337.0|WHOI OBS ID D07|2010-07-28T00:00:00|2010-08-30T23:59:59
ZL|A03|33.4706|156.984406|-5154.0|WHOI OBS ID D29|2010-07-28T00:00:00|2010-08-30T23:59:59
ZL|A04|33.389198|157.1772|-4583.0|WHOI OBS ID D25|2010-07-28T00:00:00|2010-08-30T23:59:59
ZL|A05|33.3083|157.369293|-4289.0|WHOI OBS ID D34|2010-07-28T00:00:00|2010-08-31T00:38:30
ZL|A06|33.2272|157.561905|-3922.0|WHOI OBS ID D18|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A07|33.1455|157.752502|-4016.0|WHOI OBS ID D55|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A08|33.072102|157.925003|-3438.0|WHOI OBS ID D35|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A09|32.981701|158.137604|-3198.0|WHOI OBS ID D03|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A10|32.9207|158.278107|-2113.0|WHOI OBS ID D06|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A11|32.8578|158.420502|-2702.0|WHOI OBS ID D26|2010-07-28T00:00:00|2010-08-31T23:59:59
ZL|A12|32.775398|158.610901|-2480.0|WHOI OBS ID D09|2010-07-27T00:00:00|2010-09-01T23:59:59
ZL|A13|32.704498|158.771393|-2463.0|WHOI OBS ID D11|2010-07-27T00:00:00|2010-09-01T23:59:59
ZL|A14|32.650398|158.894806|-2537.0|WHOI OBS ID D51|2010-07-27T00:00:00|2010-09-01T23:59:59
ZL|A15|32.5457|159.131104|-3080.0|WHOI OBS ID D49|2010-07-27T00:00:00|2010-09-01T23:59:59
ZL|A16|32.453499|159.338806|-3755.0|WHOI OBS ID D16|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|A17|32.3568|159.555206|-4334.0|WHOI OBS ID D56|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|A18|32.271999|159.743103|-4494.0|WHOI OBS ID D39|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|A19|32.187599|159.930298|-4992.0|WHOI OBS ID D44|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|A20|32.1022|160.117599|-5162.0|WHOI OBS ID D21|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|A21|31.995399|160.351196|-5334.0|WHOI OBS ID D10|2010-07-27T00:00:00|2010-09-02T23:59:59
ZL|B01|32.136501|158.233002|-2671.0|WHOI OBS ID D02|2010-07-28T00:00:00|2010-09-01T23:59:59
ZL|B02|32.298401|158.326401|-2558.0|WHOI OBS ID D40|2010-07-28T00:00:00|2010-09-01T23:59:59
ZL|B03|32.4594|158.421204|-2458.0|WHOI OBS ID D60|2010-07-28T00:00:00|2010-09-01T23:59:59
ZL|B04|32.620399|158.515701|-2392.0|WHOI OBS ID D50|2010-07-28T00:00:00|2010-09-01T23:59:59
ZL|B05|32.942501|158.705795|-2659.0|WHOI OBS ID D41|2010-07-27T00:00:00|2010-09-01T23:59:59
ZL|B06|33.103401|158.801895|-2996.0|WHOI OBS ID D08|2010-07-27T00:00:00|2010-08-31T23:59:59
ZL|B07|33.2645|158.8983|-3074.0|WHOI OBS ID D62|2010-07-26T00:00:00|2010-08-31T23:59:59
