#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
ZU|E114|46.0429|168.905304|-5499.0|WHOI_OBS_ID: D55|2019-05-03T00:00:00|2019-05-12T23:59:59
ZU|E115|46.066002|169.094299|-3629.4|WHOI_OBS_ID: D63|2019-05-01T00:00:00|2019-05-12T23:59:59
ZU|E116|46.085701|169.259598|-1595.1|WHOI_OBS_ID: D49|2019-05-01T00:00:00|2019-05-12T23:59:59
ZU|E117|46.106201|169.432297|-1336.5|WHOI_OBS_ID: D18|2019-05-01T00:00:00|2019-05-11T23:59:59
ZU|E118|46.122799|169.574997|-1394.7|WHOI_OBS_ID: D21|2019-05-01T00:00:00|2019-05-27T23:59:59
ZU|E119|46.140999|169.7332|-1936.6|WHOI_OBS_ID: D29|2019-05-01T00:00:00|2019-05-11T23:59:59
ZU|E120|46.161098|169.912094|-5372.5|WHOI_OBS_ID: D06|2019-05-01T00:00:00|2019-05-11T23:59:59
ZU|E207|46.525101|169.415695|-2238.5|WHOI_OBS_ID: D10|2019-05-19T00:00:00|2019-05-27T23:59:59
ZU|E209|46.323898|169.495895|-1644.6|WHOI_OBS_ID: D06|2019-05-18T00:00:00|2019-05-26T23:59:59
ZU|E212|45.905602|169.660904|-2867.6|WHOI_OBS_ID: D18|2019-05-18T00:00:00|2019-05-27T23:59:59
ZU|E221|44.670601|170.131607|-1409.6|WHOI_OBS_ID: D49|2019-05-17T00:00:00|2019-05-27T23:59:59
ZU|E223|44.465199|170.208099|-1196.2|WHOI_OBS_ID: D63|2019-05-17T00:00:00|2019-05-27T23:59:59
ZU|E225|44.260101|170.283707|-2069.1|WHOI_OBS_ID: D55|2019-05-17T00:00:00|2019-05-27T23:59:59
ZU|E227|44.054798|170.358902|-3663.6|WHOI_OBS_ID: D29|2019-05-19T00:00:00|2019-05-27T23:59:59
