#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
AK|CHI|55.8218|-155.6225|203.0|Chirikof Island, AK, USA|2008-09-15T00:00:00|2599-12-31T23:59:59
AK|FALS|54.8564|-163.4176|60.6|False Pass, AK, USA|2002-06-19T00:00:00|2599-12-31T23:59:59
AK|SII|56.5593|-154.1842|492.0|Sitkinak Island Coast Guard, AK, USA|2007-08-29T00:00:00|2599-12-31T23:59:59
AK|UNV|53.8452|-166.5045|65.0|Unalaska Valley, AK, USA|1999-02-19T00:00:00|2599-12-31T23:59:59
AT|AKUT|54.13517|-165.771851|19.2|Akutan, Alaska|2004-11-17T00:00:00|2599-12-31T23:59:59
AT|OHAK|57.2225|-153.287506|77.5|Old Harbor, Alaska|2006-06-23T00:00:00|2599-12-31T23:59:59
AT|SDPT|55.3493|-160.476593|74.0|Sand Point, Alaska|2002-08-28T00:00:00|2599-12-31T23:59:59
AV|ACH|58.21|-155.3281|960.0|Angle Creek Headwaters, Katmai, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AHB|54.115339|-165.8161|411.0|Akutan Harbor, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKBB|54.0975|-165.9338|310.0|Akutan Broad Bright, Akutan Volcano, Alaska|2005-07-05T00:00:00|2599-12-31T23:59:59
AV|AKGG|54.1979|-165.9936|326.0|Akutan Green Grass, Akutan Volcano, Alaska|2003-06-27T00:00:00|2599-12-31T23:59:59
AV|AKLV|54.162633|-165.95563|528.0|Akutan Long Valley, Akutan Volcano, Alaska|2003-07-02T00:00:00|2599-12-31T23:59:59
AV|AKMO|54.0903|-166.0126|277.0|Akutan Morgan, Akutan Volcano, Alaska|2003-06-25T00:00:00|2599-12-31T23:59:59
AV|AKRB|54.1292|-166.0708|334.0|Akutan Reef Bight, Akutan Volcano, Alaska|2003-06-29T00:00:00|2599-12-31T23:59:59
AV|AKS|54.11047|-165.69691|219.5|Akutan Strait, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKSA|54.11047|-165.69691|219.5|Akutan Strait, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|AKT|54.1349|-165.772|12.0|Akutan School, Akutan Volcano, Alaska|2005-11-01T00:00:00|2599-12-31T23:59:59
AV|AKV|54.12591|-165.96234|905.0|Akutan Volcano, Akutan Volcano, Alaska|1996-07-24T00:00:00|2599-12-31T23:59:59
AV|ANCK|58.198743|-155.4955|865.0|Angle Creek, Katmai Volcanic Cluster, Alaska|1996-07-25T00:00:00|2599-12-31T23:59:59
AV|ANNE|56.9119|-158.061|705.0|Aniakchak Northeast, Alaska|1997-07-18T00:00:00|2022-07-31T00:00:00
AV|ANNW|56.9656|-158.217|816.0|Aniakchak North West, Alaska|1997-07-18T00:00:00|2599-12-31T23:59:59
AV|ANON|56.919|-158.1737|445.0|Aniakchak Anonymous, Alaska|2000-06-30T00:00:00|2022-08-13T00:00:00
AV|ANPB|56.80157|-158.28265|662.0|Aniakchak Plenty Bear, Alaska|1997-07-18T00:00:00|2599-12-31T23:59:59
AV|ANPK|56.8409|-158.1283|972.0|Aniakchak Peak, Alaska|1997-06-30T00:00:00|2599-12-31T23:59:59
AV|AZAC|56.8947|-158.2328|1057.0|Aniakchak Zack, Alaska|2002-07-11T00:00:00|2022-08-13T00:00:00
AV|BGM|59.392|-155.2315|625.0|Big Mountain, Regional Station, Alaska|1988-04-01T00:00:00|2020-06-30T00:00:00
AV|BLDY|55.1936|-162.7856|259.0|Baldy Mountain, Mount Dutton, Alaska|1996-07-11T00:00:00|2018-07-28T00:00:00
AV|BLHA|55.702988|-162.066971|399.0|Black Hill, Pavlof Volcano, Alaska|1996-07-11T00:00:00|2599-12-31T23:59:59
AV|BPBC|56.5889|-158.4547|584.0|Black Peak Birthday Creek, Veniaminof, Alaska|2002-10-03T00:00:00|2022-08-13T00:00:00
AV|BRPK|54.6446|-163.74286|402.3|Brown Peak, Shishaldin Volcano, Alaska|1997-07-27T00:00:00|2599-12-31T23:59:59
AV|CAHL|58.0518|-155.3036|807.0|Cahill, Katmai, Alaska|1996-07-25T00:00:00|2599-12-31T23:59:59
AV|CDD|58.9289|-153.6449|622.0|Cape Douglas, Fourpeaked Volcano, Alaska|1988-04-01T00:00:00|2020-06-30T00:00:00
AV|CNTC|58.2638|-155.8858|1158.0|Contact Creek, Katmai, Alaska|1996-07-25T00:00:00|2599-12-31T23:59:59
AV|DLL|59.136028|-158.614235|58.5|Dillingham infrasound array site H1, Alaska|2010-10-12T00:00:00|2599-12-31T23:59:59
AV|DOL|55.149621|-161.86472|453.0|Dolgoi Island, Mount Dutton, Alaska|1996-07-11T00:00:00|2599-12-31T23:59:59
AV|DRR3|54.966|-162.2631|457.0|Deer Island, Mount Dutton, Alaska|1996-07-11T00:00:00|2017-07-04T00:00:00
AV|DT1|55.10627|-162.28313|198.0|Dutton Round Hill, Mount Dutton, Alaska|1991-06-21T00:00:00|2599-12-31T23:59:59
AV|DTN|55.1448|-162.259|396.0|Dutton Volcano, Alaska|1988-07-16T00:00:00|2599-12-31T23:59:59
AV|FONW|58.8341|-153.9204|905.0|Fourpeaked Northwest, Fourpeaked Volcano, Alaska|2006-10-19T00:00:00|2020-06-30T00:00:00
AV|FOPK|58.7574|-153.4762|546.0|Fourpeaked Mountain, Fourpeaked Volcano, Alaska|2006-09-25T00:00:00|2020-06-30T00:00:00
AV|FOSS|58.7987|-153.6971|1268.0|Fourpeaked Summit, Fourpeaked Volcano, Alaska|2006-10-19T00:00:00|2020-06-30T00:00:00
AV|HAG|55.31687|-161.90451|518.2|Hague Volcano, Pavlof Volcano, Alaska|1996-07-10T00:00:00|2599-12-31T23:59:59
