#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
7A|BARB|37.990799|-78.085297|84.0|Louisa, Virginia USA|2013-10-25T00:00:00|2016-10-24T23:59:59
7A|BDEG|37.331501|-77.208298|-21.0|Charles Lake, Virginia USA|2013-10-24T00:00:00|2016-10-24T23:59:59
7A|LBDL|37.800098|-77.639801|48.0|Montpelier, Virginia USA|2013-10-24T00:00:00|2016-10-24T23:59:59
7A|WLFT|38.165699|-78.1437|110.0|Gordonsville, Virginia USA|2013-10-26T00:00:00|2016-10-24T23:59:59
7A|YLDA|37.8643|-77.843903|63.0|Jackson, Virginia USA|2013-10-25T00:00:00|2016-10-24T23:59:59
GD|GODE|39.021599|-76.826897|54.9|Greenbelt, Maryland, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
LD|DEMA|39.3187|-75.6098|0.0|DEMA DGS|1999-10-01T00:00:00|2015-12-02T00:00:00
LD|SCOM|38.6957|-75.3627|0.0|SCOM DGS|1999-10-01T00:00:00|2015-12-02T00:00:00
N4|R61A|38.3303|-75.339|76.0|Willards, MD, USA|2013-05-27T00:00:00|2599-12-31T23:59:59
N4|S61A|37.6804|-75.6727|58.0|Accomac, VA, USA|2013-05-01T00:00:00|2599-12-31T23:59:59
N4|T57A|36.9983|-79.2538|230.0|Hurt, VA, USA|2013-03-01T00:00:00|2599-12-31T23:59:59
N4|T59A|36.9716|-77.5541|63.0|Double 'B' Farms, VA, USA|2013-03-01T00:00:00|2599-12-31T23:59:59
N4|V61A|35.7912|-76.5776|4.0|Roper, NC, USA|2013-03-01T00:00:00|2599-12-31T23:59:59
N4|W59A|35.1673|-78.443|60.0|Clinton, NC, USA|2013-03-01T00:00:00|2599-12-31T23:59:59
N4|X58A|34.5548|-79.3388|45.0|Rowland, NC, USA|2013-02-01T00:00:00|2599-12-31T23:59:59
N4|Y58A|33.9057|-79.6665|19.0|Scranton, SC, USA|2013-02-01T00:00:00|2599-12-31T23:59:59
NQ|CAPTL|38.88958|-77.009209|21.0|U.S. Capitol Bldg, Washington, DC|2012-01-25T00:00:00|2599-12-31T23:59:59
NQ|NQ791|37.970058|-78.017326|109.0|St Rte 64, Louisa, VA, USA|2011-08-27T00:00:00|2599-12-31T23:59:59
NQ|NQ792|37.87722|-78.126633|129.0|St Rte 601, Kents Store, VA, USA|2011-08-27T00:00:00|2599-12-31T23:59:59
NQ|NQ793|37.85474|-77.916763|117.0|701 Carterville rd, Mineral, VA 23117|2011-08-24T00:00:00|2599-12-31T23:59:59
NQ|NQ794|38.09906|-77.890556|91.0|Christopher Run Campground, VA, USA|2011-08-25T00:00:00|2599-12-31T23:59:59
NT|FDT|38.2047|-77.3729|69.0|Fredericksburg Test|1901-01-01T00:00:00|2599-12-31T23:59:59
NT|FRD|38.2047|-77.3729|69.0|Fredericksburg|1901-01-01T00:00:00|2599-12-31T23:59:59
PN|PPHYL|38.650002|-77.379997|112.0|C.D. Hylton High School, Woodbridge, VA, USA|1999-01-10T00:00:00|2599-12-31T23:59:59
SE|JSRW|37.693802|-77.878601|67.0|J. Sargeant Reynolds C. C. Western Campus, Goochland, VA|2006-01-01T00:00:00|2599-12-31T23:59:59
SE|URVA|37.5709|-77.535698|49.0|University of Richmond, Richmond, VA|2006-01-01T00:00:00|2599-12-31T23:59:59
SS|NCAT|36.078957|-79.771179|243.0|NC A&T Campus|2009-02-03T00:00:00|2599-12-31T23:59:59
TA|Q59A|38.864399|-76.6548|34.0|Harwood, MD, USA|2013-04-19T00:00:00|2015-04-22T23:59:59
TA|Q60A|39.001598|-75.842903|14.0|Greensboro, MD, USA|2013-05-28T00:00:00|2015-02-13T23:59:59
TA|Q61A|38.879902|-75.3256|5.0|Milford, DE, USA|2013-05-28T00:00:00|2016-02-01T23:59:59
TA|R58A|38.298901|-78.003403|184.0|Rapidan, VA, USA|2013-04-17T00:00:00|2015-04-15T23:59:59
TA|R58B|37.9636|-77.8787|116.0|Mineral, VA, USA|2012-08-02T00:00:00|2015-04-28T23:59:59
TA|R59A|38.2005|-77.116402|35.0|King George, VA, USA|2013-04-16T00:00:00|2015-04-21T23:59:59
TA|R60A|38.268398|-76.580704|33.0|Leonardtown, MD, USA|2013-04-18T00:00:00|2015-04-22T23:59:59
TA|R61A|38.330299|-75.338997|76.0|Willards, MD, USA|2013-05-27T00:00:00|2015-02-09T23:59:59
TA|S58A|37.612598|-78.051102|96.0|Poland Farm, Powhatan, VA, USA|2013-04-04T00:00:00|2015-04-24T23:59:59
TA|S59A|37.762001|-77.294197|40.0|Mechanicsville, VA, USA|2013-04-12T00:00:00|2015-04-23T23:59:59
TA|S60A|37.705502|-76.653503|36.0|Water View, VA, USA|2013-04-15T00:00:00|2015-04-23T23:59:59
TA|S61A|37.680401|-75.672699|58.0|Accomac, VA, USA|2013-05-27T00:00:00|2015-02-09T23:59:59
TA|T57A|36.998299|-79.253799|230.0|Hurt, VA, USA|2013-03-17T00:00:00|2015-03-18T23:59:59
TA|T58A|36.9454|-78.533798|167.0|Grand View Acres, VA, USA|2013-03-18T00:00:00|2015-04-13T23:59:59
TA|T59A|36.9716|-77.5541|63.0|Double 'B' Farms, VA, USA|2013-03-20T00:00:00|2015-02-04T23:59:59
TA|T60A|37.139702|-76.734901|11.0|Surry, VA, USA|2013-03-19T00:00:00|2015-04-23T23:59:59
TA|U57A|36.4319|-79.336403|178.0|Blanch, NC, USA|2013-04-21T00:00:00|2015-03-31T23:59:59
TA|U58A|36.394402|-78.549301|169.0|Oxford, NC, USA|2013-03-21T00:00:00|2015-04-01T23:59:59
TA|U59A|36.3526|-77.792503|99.0|Littleton, NC, USA|2013-03-21T00:00:00|2015-02-02T23:59:59
TA|U60A|36.471802|-77.159599|8.0|Pendleton, NC, USA|2013-04-23T00:00:00|2015-04-17T23:59:59
TA|U61A|36.331902|-76.446404|4.0|Possum Corner Farms, Belvidere, NC, USA|2013-04-24T00:00:00|2015-04-18T23:59:59
