#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
YN|OBS01|47.555302|-128.8246|-2647.0|WHOI OBS ID D06|2009-08-22T00:00:00|2009-09-16T23:59:59
YN|OBS02|47.644798|-128.8116|-2646.0|WHOI OBS ID D08|2009-08-22T00:00:00|2009-09-16T23:59:59
YN|OBS03|47.734699|-128.798706|-2652.0|WHOI OBS ID D02|2009-08-22T00:00:00|2009-09-15T23:59:59
YN|OBS04|47.823601|-128.785797|-2583.0|WHOI OBS ID D55|2009-08-22T00:00:00|2009-09-15T23:59:59
YN|OBS05|47.913399|-128.772598|-2615.0|WHOI OBS ID D62|2009-08-22T00:00:00|2009-09-15T23:59:59
YN|OBS06|48.003201|-128.760101|-2582.0|WHOI OBS ID D07|2009-08-22T00:00:00|2009-09-15T23:59:59
YN|OBS07|48.092201|-128.746994|-2571.0|WHOI OBS ID D40|2009-08-22T00:00:00|2009-09-12T23:59:59
YN|OBS08|48.181999|-128.734406|-2546.0|WHOI OBS ID D44|2009-08-22T00:00:00|2009-09-12T23:59:59
YN|OBS09|48.271999|-128.721497|-2502.0|WHOI OBS ID D31|2009-08-22T00:00:00|2009-09-12T23:59:59
YN|OBS10|48.361099|-128.708099|-2480.0|WHOI OBS ID D49|2009-08-22T00:00:00|2009-09-13T23:59:59
YN|OBS11|47.695599|-128.900803|-2544.0|SIO OBS ID OBS11|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS12|47.874401|-128.872803|-2460.0|SIO OBS ID OBS12|2009-08-25T00:00:00|2009-09-16T23:59:59
YN|OBS13|48.0355|-128.849792|-2449.0|SIO OBS ID OBS13|2009-08-26T00:00:00|2009-09-12T23:59:59
YN|OBS14|48.233398|-128.821793|-2502.0|SIO OBS ID OBS14|2009-08-24T00:00:00|2009-09-13T23:59:59
YN|OBS15|47.723099|-129.326599|-2756.0|SIO OBS ID OBS15|2009-08-25T00:00:00|2009-09-14T23:59:59
