#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
ZD|D01|-4.0091|-104.419296|-3269.0|WHOI OBS ID S87|2007-12-25T00:00:00|2009-01-18T23:59:59
ZD|D02|-3.9313|-104.499298|-3020.0|WHOI OBS ID S81|2007-12-27T00:00:00|2009-01-19T23:59:59
ZD|D03|-4.0416|-104.491798|-3031.0|WHOI OBS ID S89|2007-12-26T00:00:00|2009-01-21T23:59:59
ZD|D04|-4.0596|-104.351501|-3124.0|WHOI OBS ID S71|2007-12-26T00:00:00|2009-01-18T23:59:59
ZD|D05|-4.0906|-104.228203|-3088.0|WHOI OBS ID S67|2007-12-26T00:00:00|2009-01-21T23:59:59
ZD|D06|-3.9304|-104.199097|-3241.0|WHOI OBS ID S66|2007-12-26T00:00:00|2009-01-20T23:59:59
ZD|D07|-4.0059|-104.278099|-3238.0|WHOI OBS ID S68|2007-12-28T00:00:00|2009-01-20T23:59:59
ZD|D08|-3.9513|-104.351303|-2681.0|WHOI OBS ID S38|2007-12-27T00:00:00|2009-01-19T23:59:59
ZD|G01|-4.4516|-106.260498|-3209.0|WHOI OBS ID S73|2007-12-23T00:00:00|2009-01-25T23:59:59
ZD|G02|-4.5465|-106.199203|-3050.0|WHOI OBS ID S72|2007-12-23T00:00:00|2009-01-26T23:59:59
ZD|G03|-4.6161|-106.149803|-3187.0|WHOI OBS ID S70|2007-12-23T00:00:00|2009-01-24T23:59:59
ZD|G04|-4.5553|-106.126602|-3170.0|WHOI OBS ID S82|2007-12-23T00:00:00|2009-01-25T23:59:59
ZD|G05|-4.4907|-106.080101|-3558.0|WHOI OBS ID S80|2007-12-23T00:00:00|2009-01-25T23:59:59
ZD|G06|-4.5694|-106.035896|-3601.0|WHOI OBS ID S85|2007-12-23T00:00:00|2009-01-24T23:59:59
ZD|G07|-4.6591|-105.968498|-3195.0|WHOI OBS ID S86|2007-12-24T00:00:00|2009-01-24T23:59:59
ZD|G08|-4.5962|-105.948097|-3358.0|WHOI OBS ID S88|2007-12-24T00:00:00|2009-01-24T23:59:59
ZD|G09|-4.5022|-105.909698|-3258.0|WHOI OBS ID S84|2007-12-24T00:00:00|2009-01-23T23:59:59
ZD|G10|-4.5932|-105.866898|-3395.0|WHOI OBS ID S83|2007-12-24T00:00:00|2009-01-23T23:59:59
ZD|G11|-4.6205|-105.791702|-3238.0|WHOI OBS ID S46|2007-12-25T00:00:00|2008-07-17T23:59:59
ZD|G12|-4.6778|-105.800003|-3192.0|WHOI OBS ID S65|2007-12-24T00:00:00|2009-01-22T23:59:59
ZD|G13|-4.54|-105.706497|-3402.0|WHOI OBS ID S14|2007-12-25T00:00:00|2009-01-22T23:59:59
ZD|G14|-4.6051|-105.7024|-3926.0|WHOI OBS ID S37|2007-12-24T00:00:00|2009-01-23T23:59:59
ZD|G16|-4.7169|-105.584198|-2961.0|WHOI OBS ID S74|2007-12-25T00:00:00|2009-01-21T23:59:59
