#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
X4|1AS01|14.355955|-104.41565|-3041.0|OBS_ID: D90|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS02|14.376656|-104.30642|-2844.0|SIO OBS ID 1AS02|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS03|14.396932|-104.197348|-3015.0|OBS_ID: D09|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS04|14.417645|-104.08471|-3089.0|SIO OBS ID 1AS04|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS05|14.43844|-103.978803|-3146.0|OBS_ID: D04|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS06|14.45939|-103.86755|-2956.0|SIO OBS ID 1AS06|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS07|14.47981|-103.760107|-3061.0|OBS_ID: D10|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS08|14.500315|-103.64987|-3037.0|SIO OBS ID 1AS08|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS09|14.520708|-103.541167|-3185.0|OBS_ID: D29|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS10|14.541782|-103.42987|-3267.0|SIO OBS ID 1AS10|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS11|14.561943|-103.322033|-3310.0|OBS_ID: D49|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS12|14.582364|-103.21136|-3363.0|SIO OBS ID 1AS12|2022-05-16T00:00:00|2022-05-19T23:59:59
X4|1AS13|14.602518|-103.102803|-3315.0|OBS_ID: D35|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS14|14.62245|-102.99151|-3531.0|SIO OBS ID 1AS14|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS15|14.642425|-102.884103|-3448.0|OBS_ID: D06|2022-05-16T00:00:00|2022-05-21T23:59:59
X4|1AS16|14.662458|-102.774515|-3499.0|SIO OBS ID 1AS16|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS17|14.682272|-102.664777|-3642.0|OBS_ID: D26|2022-05-16T00:00:00|2022-05-21T23:59:59
X4|1AS18|14.702368|-102.55471|-3611.0|SIO OBS ID 1AS18|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS19|14.72196|-102.44511|-3703.0|OBS_ID: D56|2022-05-16T00:00:00|2022-05-21T23:59:59
X4|1AS20|14.74188|-102.335678|-3582.0|SIO OBS ID 1AS20|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS21|14.76229|-102.226197|-3445.0|OBS_ID: D14|2022-05-16T00:00:00|2022-05-21T23:59:59
X4|1AS22|14.781773|-102.116483|-3637.0|SIO OBS ID 1AS22|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS23|14.801545|-102.006683|-3454.0|SIO OBS ID 1AS23|2022-05-16T00:00:00|2022-05-20T23:59:59
X4|1AS24|14.821068|-101.896972|-3299.0|OBS_ID: D18|2022-05-17T00:00:00|2022-05-21T23:59:59
X4|1AS25|14.84134|-101.786555|-3582.0|SIO OBS ID 1AS25|2022-05-17T00:00:00|2022-05-20T23:59:59
X4|1AS26|14.860732|-101.677377|-3608.0|SIO OBS ID 1AS26|2022-05-17T00:00:00|2022-05-21T23:59:59
X4|2S01|14.785362|-101.875497|-3396.0|OBS_ID: D35|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S02|14.859852|-101.82376|-3438.0|SIO OBS ID 2S02|2022-05-21T00:00:00|2022-05-23T23:59:59
X4|2S03|14.935598|-101.771565|-3622.0|OBS_ID: D10|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S04|15.000013|-101.71825|-3548.0|SIO OBS ID 2S04|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S05|15.083113|-101.666308|-3750.0|OBS_ID: D04|2022-05-21T00:00:00|2022-05-25T23:59:59
X4|2S06|15.158666|-101.61329|-3662.0|SIO OBS ID 2S06|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S07|15.231642|-101.561073|-3710.0|OBS_ID: D06|2022-05-21T00:00:00|2022-05-25T23:59:59
X4|2S08|15.306715|-101.50828|-3608.0|SIO OBS ID 2S08|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S09|15.38028|-101.456153|-3514.0|OBS_ID: D49|2022-05-21T00:00:00|2022-05-25T23:59:59
X4|2S10|15.457625|-101.4013|-3618.0|SIO OBS ID 2S10|2022-05-21T00:00:00|2022-05-24T23:59:59
X4|2S11|15.528708|-101.350922|-3554.0|OBS_ID: D90|2022-05-21T00:00:00|2022-05-25T23:59:59
