#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
ZA|A02|8.7872|-147.821793|-5115.0|WHOI OBS ID D51|2011-12-02T00:00:00|2011-12-24T23:59:59
ZA|A03|8.8245|-147.643799|-5284.0|WHOI OBS ID D16|2011-12-02T00:00:00|2011-12-24T23:59:59
ZA|A04|8.8614|-147.465805|-5264.0|WHOI OBS ID D02|2011-12-02T00:00:00|2011-12-23T23:59:59
ZA|A05|8.899|-147.286697|-5299.0|WHOI OBS ID D26|2011-12-02T00:00:00|2011-12-23T23:59:59
ZA|A06|8.9361|-147.110992|-5342.0|WHOI OBS ID D40|2011-12-02T00:00:00|2011-12-23T23:59:59
ZA|A07|8.9729|-146.930893|-5226.0|WHOI OBS ID D55|2011-12-02T00:00:00|2011-12-23T23:59:59
ZA|A11|9.1184|-146.218796|-5264.0|WHOI OBS ID D35|2011-12-01T00:00:00|2011-12-22T23:59:59
ZA|A12|9.1546|-146.038895|-5054.0|WHOI OBS ID D06|2011-12-01T00:00:00|2011-12-22T23:59:59
ZA|A13|9.1892|-145.865707|-5174.0|WHOI OBS ID D03|2011-12-01T00:00:00|2011-12-22T23:59:59
ZA|A14|9.2272|-145.678802|-5171.0|WHOI OBS ID D32|2011-12-01T00:00:00|2011-12-22T23:59:59
ZA|A15|9.2659|-145.503601|-5150.0|WHOI OBS ID D29|2011-12-01T00:00:00|2011-12-22T23:59:59
ZA|A19|9.4069|-144.793594|-5143.0|WHOI OBS ID D39|2011-12-01T00:00:00|2011-12-19T23:59:59
ZA|A20|9.4403|-144.620102|-5145.0|WHOI OBS ID D09|2011-12-01T00:00:00|2011-12-19T23:59:59
ZA|A21|9.4761|-144.434998|-5282.0|WHOI OBS ID D21|2011-12-01T00:00:00|2011-12-19T23:59:59
ZA|A22|9.5132|-144.253204|-5079.0|WHOI OBS ID D44|2011-12-01T00:00:00|2011-12-21T23:59:59
ZA|A23|9.5485|-144.074005|-5300.0|WHOI OBS ID D18|2011-12-01T00:00:00|2011-12-21T23:59:59
ZA|A24|9.5825|-143.901794|-5310.0|WHOI OBS ID D62|2011-12-01T00:00:00|2011-12-21T23:59:59
ZA|A25|9.6177|-143.720398|-5104.6|SIO_OBS_ID: 9999|2011-12-03T00:00:00|2012-01-22T23:59:59
ZA|A26|9.6531|-143.542801|-5059.9|SIO_OBS_ID: 9999|2011-12-03T00:00:00|2012-01-11T23:59:59
ZA|A27|9.6903|-143.352707|-5163.8|SIO_OBS_ID: 9999|2011-12-03T00:00:00|2012-01-30T23:59:59
ZA|A28|9.7239|-143.179398|-5133.0|WHOI OBS ID D49|2011-11-30T00:00:00|2011-12-20T23:59:59
ZA|A29|9.7587|-143.000793|-5061.0|WHOI OBS ID D15|2011-11-30T00:00:00|2011-12-20T23:59:59
ZA|A30|9.794|-142.819702|-5118.0|WHOI OBS ID D11|2011-11-30T00:00:00|2011-12-20T23:59:59
ZA|A31|9.8244|-142.662506|-5189.0|WHOI OBS ID D41|2011-11-30T00:00:00|2011-12-20T23:59:59
ZA|B01|10.6729|-147.497299|-5331.5|SIO_OBS_ID: 106|2011-12-02T00:00:00|2012-12-27T23:59:59
ZA|B02|11.0639|-145.714005|-5276.5|SIO_OBS_ID: 41|2011-12-01T00:00:00|2012-12-28T23:59:59
ZA|B04|10.4593|-146.3694|-5111.5|SIO_OBS_ID: 105|2011-12-02T00:00:00|2012-12-27T23:59:59
ZA|B05|10.7755|-144.848007|-5196.5|SIO_OBS_ID: 100|2011-12-01T00:00:00|2012-12-28T23:59:59
ZA|B06|9.7074|-147.748093|-5253.5|SIO_OBS_ID: 35|2011-12-01T00:00:00|2012-12-26T23:59:59
ZA|B07|10.6383|-143.286697|-5169.5|SIO_OBS_ID: 13|2011-12-03T00:00:00|2012-12-29T23:59:59
ZA|B08|8.7507|-147.9991|-5198.5|SIO_OBS_ID: 102|2011-12-05T00:00:00|2012-12-25T23:59:59
ZA|B11|9.1618|-146.003693|-4889.5|SIO_OBS_ID: 109|2011-12-04T00:00:00|2013-01-04T23:59:59
ZA|B13|9.2538|-145.549103|-5174.5|SIO_OBS_ID: 40|2011-12-03T00:00:00|2012-12-10T23:59:59
ZA|B14|9.2999|-145.323807|-5273.5|SIO_OBS_ID: 19|2011-12-03T00:00:00|2013-01-05T23:59:59
ZA|B15|9.3471|-145.085693|-5274.5|SIO_OBS_ID: 108|2011-12-03T00:00:00|2013-01-06T23:59:59
ZA|B16|9.3887|-144.881195|-5077.5|SIO_OBS_ID: 26|2011-12-03T00:00:00|2013-01-06T23:59:59
ZA|B17|9.4333|-144.654907|-5137.5|SIO_OBS_ID: 101|2011-12-04T00:00:00|2013-01-07T23:59:59
ZA|B18|9.4777|-144.431107|-5275.5|SIO_OBS_ID: 37|2011-12-04T00:00:00|2013-01-07T23:59:59
ZA|B19|9.6522|-143.546707|-5058.5|SIO_OBS_ID: 06|2011-12-03T00:00:00|2013-01-05T23:59:59
ZA|B20|9.8252|-142.660507|-5174.5|SIO_OBS_ID: 110|2011-12-02T00:00:00|2012-12-26T23:59:59
ZA|B21|7.9484|-147.358002|-5166.5|SIO_OBS_ID: 104|2011-12-04T00:00:00|2013-01-02T23:59:59
ZA|B22|7.8186|-145.798996|-5220.5|SIO_OBS_ID: 29|2011-12-05T00:00:00|2013-01-01T23:59:59
ZA|B23|8.1362|-144.287903|-5115.5|SIO_OBS_ID: 2|2011-12-06T00:00:00|2012-12-31T23:59:59
ZA|B24|8.8785|-142.911407|-5157.5|SIO_OBS_ID: 31|2011-12-07T00:00:00|2012-12-30T23:59:59
ZA|B25|7.1643|-146.723206|-5109.5|SIO_OBS_ID: 30|2011-12-06T00:00:00|2013-01-02T23:59:59
ZA|B26|7.5382|-144.945801|-5042.5|SIO_OBS_ID: 27|2011-12-05T00:00:00|2013-01-01T23:59:59
ZA|C01|8.8547|-145.231598|-5245.0|WHOI OBS ID D31|2011-12-03T00:00:00|2011-12-18T23:59:59
ZA|C02|8.4191|-145.134399|-5237.0|WHOI OBS ID D25|2011-12-03T00:00:00|2011-12-18T23:59:59
ZA|C03|7.9735|-145.041504|-5028.0|WHOI OBS ID D34|2011-12-03T00:00:00|2011-12-18T23:59:59
