#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
X3|OBS01|36.117802|-34.2104|-1503.0|SIO OBS ID OBS01|2013-04-16T00:00:00|2013-05-01T23:59:59
X3|OBS02|36.163898|-34.144901|-1536.0|SIO OBS ID OBS02|2013-04-16T00:00:00|2013-05-02T23:59:59
X3|OBS03|36.204201|-34.0896|-1689.0|SIO OBS ID OBS03|2013-04-16T00:00:00|2013-05-02T23:59:59
X3|OBS05|36.272598|-33.995602|-2339.0|SIO OBS ID OBS05|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS06|36.296398|-33.9627|-1895.0|SIO OBS ID OBS06|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS07|36.318699|-33.929798|-1612.0|SIO OBS ID OBS07|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS08|36.350601|-33.888199|-2117.0|SIO OBS ID OBS08|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS09|36.3867|-33.838299|-1823.0|SIO OBS ID OBS09|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS10|36.4286|-33.778702|-1693.0|SIO OBS ID OBS10|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS11|36.477402|-33.715698|-1908.0|SIO OBS ID OBS11|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS12|36.430401|-33.661999|-2534.0|SIO OBS ID OBS12|2013-04-17T00:00:00|2013-05-02T23:59:59
X3|OBS13|36.380699|-33.727901|-2751.0|SIO OBS ID OBS13|2013-04-17T00:00:00|2013-05-13T23:59:59
X3|OBS14|36.340199|-33.785999|-2865.0|SIO OBS ID OBS14|2013-04-17T00:00:00|2013-05-13T23:59:59
X3|OBS15|36.303799|-33.835701|-2871.0|SIO OBS ID OBS15|2013-04-17T00:00:00|2013-05-13T23:59:59
X3|OBS16|36.273499|-33.8773|-2475.0|SIO OBS ID OBS16|2013-04-17T00:00:00|2013-05-14T23:59:59
X3|OBS17|36.244701|-33.867401|-2141.0|SIO OBS ID OBS17|2013-04-17T00:00:00|2013-05-14T23:59:59
X3|OBS18|36.249699|-33.910301|-2721.0|SIO OBS ID OBS18|2013-04-17T00:00:00|2013-05-14T23:59:59
X3|OBS19|36.2146|-33.909199|-2452.0|SIO OBS ID OBS19|2013-04-17T00:00:00|2013-05-14T23:59:59
X3|OBS20|36.225498|-33.943199|-3219.0|SIO OBS ID OBS20|2013-04-17T00:00:00|2013-05-14T23:59:59
X3|OBS21|36.195|-33.984699|-3035.0|SIO OBS ID OBS21|2013-04-17T00:00:00|2013-05-14T23:59:59
